Crop: Cardamom,,,,,,,,,,,,,,,,,,,,,,,,,
S.No.,State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
,,,Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.),Yield (Ton./Ha.)
1,Tamil Nadu,Madurai,,,,,,,,,,,,,,,,5.5,,,,,,,
2,West Bengal,Darjeeling,,0.24,0.24,0.24,0.24,0.24,0.24,,2.87,,,,,,,,,,,,,,
3,Karnataka,Bangalore rural,,,,,,,,,,,,,,,,,,,0.1,,0.17,,2
4,Nagaland,Wokha,,,,,,,1.67,0.5,0.5,,,,,,,,,,,,,,
5,Nagaland,Mokokchung,,,,,,,1.65,0.33,1,,,,,,,,,,,,,,
6,Nagaland,Phek,,,,,,,1.63,0.5,0.15,,,,,,,,,,,,,,
7,Nagaland,Kohima,,,,,,,1.57,0.6,0.13,,,,,,,,,,,,,,
8,Nagaland,Dimapur,,,,,,,1.54,,,,,,,,,,,,,,,,
9,Tamil Nadu,Virudhunagar,,,,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,0.09,,0.09,0.09,0.73,0.09,0.09,0.09,0.09,0.09,0.09,0.09
10,Kerala,Idukki,0.22,0.24,0.25,0.25,0.24,0.28,0.24,0.2,0.24,0.21,,,0.28,0.41,0.47,0.58,0.53,0.57,0.36,0.31,0.64,0.66,0.67
11,Tamil Nadu,Vellore,,,,,,,,,,,,,,,,0.5,,,,,,,
12,Nagaland,Kiphire,,,,,,,,,0.5,,,,,,,,,,,,,,
13,Karnataka,Ramanagara,,,,,,,,,,,,,,,,,,,0.1,,0.33,0.2,0.43
14,Karnataka,Mandya,,,,,,,,,,,,,,,,,,,0.12,0.15,0.19,0.22,0.33
15,Karnataka,Chikballapur,,,,,,,,,,,,,,,,,,,,,0.17,0.33,
16,Karnataka,Tumkur,,,,,,,,,,,,,,,,,,,0.11,0.16,0.17,0.19,0.33
17,Tamil Nadu,Namakkal,,,,0.07,0.07,0.07,0.07,0.05,0.09,0.07,,0.09,,0.07,0.08,0.3,,0.11,0.11,0.1,0.1,0.09,0.09
18,Karnataka,Shimoga,0.08,,0.08,0.08,0.08,0.08,0.08,0.08,0.14,0.14,0.17,0.07,0.07,0.16,0.14,0.07,0.11,0.1,0.11,0.12,0.13,0.19,0.29
19,Karnataka,Uttar kannad,0.05,,0.06,0.06,0.06,0.06,0.06,0.09,0.1,0.12,0.12,0.12,0.12,0.17,0.13,0.08,0.11,0.09,0.25,0.21,0.23,0.28,0.2
20,Karnataka,Kodagu,0.06,,0.06,0.06,0.06,0.06,0.06,0.13,0.13,0.05,0.08,0.06,0.06,0.08,0.07,0.07,0.08,0.12,0.06,0.21,0.26,0.27,0.27
21,Nagaland,Mon,,,,,,,,,0.25,,,,,,,,,,,,,,
22,Karnataka,Mysore,,,,,,,,,,,,,,,,,,,0.14,0.2,0.25,0.25,0.2
23,Karnataka,Dakshin kannad,0.05,,0.05,0.05,0.05,0.05,0.04,0.09,0.1,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.11,0.11,0.1,0.25,0.13,0.14,0.07
24,Karnataka,Chikmagalur,0.06,,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.09,0.14,0.14,0.06,0.06,0.09,0.08,0.11,0.2,0.17,0.18,0.25,0.17
25,Karnataka,Udupi,,,,,,,,,,,,,,,,,,,0.1,0.18,0.18,0.25,0.21
26,Karnataka,Belgaum,,,,,,,,,,,,,,,,,,,,0.14,,,0.21
27,Karnataka,Chitradurga,,,,,,,,,,,,,,,,,,,0.1,0.14,0.2,0.14,0.2
28,Karnataka,Davangere,,,,,,,,,,,,,,,,,,,0.13,0.2,0.2,0.2,0.03
29,Karnataka,Haveri,,,,,,,,,,,,,,,,,,,0.1,,0.17,0.19,0.1
30,Karnataka,Bengaluru urban,,,,,,,,,,,,,,,,,,,,,,0.19,
31,Karnataka,Gulbarga,,,,,,,,,,,,,,,,,,,,,0.17,,
32,Karnataka,Kolar,,,,,,,,,,,,,,,,,,,0.1,,0.17,,
33,Karnataka,Chamarajanagar,0.07,,0.08,0.07,0.1,0.11,0.11,,,,,,,0.07,0.07,0.07,0.11,0.11,0.1,,0.17,0.17,0.06
34,Karnataka,Koppal,,,,,,,,,,,,,,,,,,,,,0.17,,
35,Kerala,Wayanad,0.06,0.07,0.08,0.08,0.08,0.09,0.09,0.08,0.09,0.09,,0.09,0.15,0.16,0.17,0.16,0.08,0.09,0.05,0.05,0.12,0.12,0.11
36,Nagaland,Zunheboto,,,,,,,,,0.17,,,,,,,,,,,,,,
37,Nagaland,Tuensang,,,,,,,,,0.17,,,,,,,,,,,,,,
38,Tamil Nadu,Erode,,,,,,,,,0.13,,,,,,,,,,,,,,0.17
39,Karnataka,Hassan,0.05,,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.07,0.08,0.09,0.09,0.08,0.08,0.1,0.14,0.12,0.11,0.08,0.08,0.08,0.15
40,Kerala,Kottayam,0.11,0.12,0.12,0.13,0.13,0.13,0.1,0.1,0.07,0.07,,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.03,0.01,0.01,,
41,Kerala,Pathanamthitta,0.1,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.02,0.02,,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.1,0.1,0.04
42,Kerala,Palakkad,0.06,0.07,0.07,0.08,0.08,0.1,0.09,0.1,0.12,0.12,,0.12,0.1,0.11,0.11,0.11,0.11,0.03,0.02,0.02,0.02,0.03,0.03
43,Tamil Nadu,Dindigul,0.11,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.01,0.1,0.1,0.1,0.1,0.09,0.1,0.1
44,Tamil Nadu,Kanniyakumari,,,,0.09,0.09,0.1,0.1,0.1,0.1,0.08,,0.08,,0.08,0.08,,0.06,0.06,0.06,0.1,0.1,0.11,0.08
45,Tamil Nadu,Salem,,,,0.07,0.07,0.07,0.08,0.07,0.07,0.05,,0.08,,0.06,0.06,0.09,0.08,0.08,0.08,0.08,0.1,0.08,0.08
46,Tamil Nadu,Tirunelveli,0.1,,,0.1,0.1,0.1,0.1,0.1,0.09,0.1,,0.1,,0.1,0.09,0.01,0.1,0.1,0.09,0.1,0.09,0.1,0.09
47,Tamil Nadu,Thenkasi,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.1
48,Tamil Nadu,Theni,0.09,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,0.1,,0.1,0.1,0.02,0.1,0.1,0.1,0.1,0.09,0.09,0.1
49,Tamil Nadu,The nilgiris,0.09,,,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,0.09,,0.09,0.09,,0.09,0.09,0.09,0.09,0.09,0.09,0.09
50,Tamil Nadu,Coimbatore,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,0.08,,0.08,0.08,0.03,0.08,0.08,0.08,0.08,0.09,0.08,0.08
51,Kerala,Malappuram,,0.01,0.04,0.04,0.04,0.04,0.04,0.03,0.01,,,0.01,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.02
52,Kerala,Kozhikode,,,,,,0,0,0,0,0.01,,0,0.02,0.02,0.02,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01
53,Kerala,Kasaragod,,,,0,0,0,0,,,,,,,,,,,,,,,,
