State,District,Year,Black pepper,,,,,,,,
,,2011 - 2012,"2,164.81",776.44,0.36,,,,,,
,,2012 - 2013,"1,888.00",582,0.31,,,,,,
,,2013 - 2014,"1,947.00",546,0.28,,,,,,
,,2014 - 2015,"1,801.00",502,0.28,,,,,,
,,2015 - 2016,"1,789.98",479.23,0.27,,,,,,
,,2016 - 2017,"1,901.00",480,0.25,,,,,,
,,2017 - 2018,"1,793.00",559,0.31,,,,,,
,,2018 - 2019,"1,741.71",502.97,0.29,,,,,,
,,2019 - 2020,"1,741.00",462,0.27,,,,,,
,,2020 - 2021,"1,625.15",460.6,0.28,,,,,,
,,2021 - 2022,"1,628.00",436,0.27,,,,,,
,,2022 - 2023,"1,645.21",453.92,0.28,,,,,,
,14. Wayanad,2000 - 2001,"44,908.00","17,915.00",0.4,,,,,,
,,2001 - 2002,"40,088.00","13,083.00",0.33,,,,,,
,,2002 - 2003,"40,839.00","12,064.00",0.3,,,,,,
,,2003 - 2004,"42,287.00","12,173.00",0.29,,,,,,
,,2004 - 2005,"41,573.00","13,897.00",0.33,,,,,,
,,2005 - 2006,"41,464.00","11,483.00",0.28,,,,,,
,,2006 - 2007,"36,488.00","9,828.00",0.27,,,,,,
,,2007 - 2008,"25,542.00","4,060.00",0.16,,,,,,
,,2008 - 2009,"20,825.00","4,526.00",0.22,,,,,,
,,2009 - 2010,"16,571.00","4,497.00",0.27,,,,,,
,,2010 - 2011,"16,188.55","2,431.28",0.15,,,,,,
,,2011 - 2012,"8,421.93","2,691.70",0.32,,,,,,
,,2012 - 2013,"8,945.00","3,706.00",0.41,,,,,,
,,2013 - 2014,"9,527.00","2,751.00",0.29,,,,,,
,,2014 - 2015,"10,064.00","4,794.00",0.48,,,,,,
,,2015 - 2016,"12,498.39","6,592.57",0.53,,,,,,
,,2016 - 2017,"10,565.00","4,136.00",0.39,,,,,,
,,2017 - 2018,"10,782.00","3,414.00",0.32,,,,,,
,,2018 - 2019,"9,939.49","3,123.15",0.31,,,,,,
,,2019 - 2020,"10,307.00","3,694.00",0.36,,,,,,
,,2020 - 2021,"11,252.46","4,981.66",0.44,,,,,,
,,2021 - 2022,"9,718.00","3,857.00",0.4,,,,,,
,,2022 - 2023,"8,956.72","3,249.72",0.36,,,,,,
7. Meghalaya,1. East garo hills,2004 - 2005,58,96,1.66,,,,,,
,,2008 - 2009,,,,56,14,0.25,,,
,,2009 - 2010,58,16,0.28,,,,,,
,,2010 - 2011,62,23,0.37,,,,,,
,,2011 - 2012,65,25,0.38,,,,,,
,,2012 - 2013,68,33,0.49,,,,,,
,,2013 - 2014,42,20,0.48,,,,,,
,,2014 - 2015,43,21,0.49,,,,,,
,,2015 - 2016,,,,48,33,0.69,,,
,,2016 - 2017,,,,51,39,0.76,,,
,,2017 - 2018,,,,52,40,0.77,,,
,,2018 - 2019,,,,53,41,0.77,,,
,,2019 - 2020,,,,54,42,0.78,,,
,,2020 - 2021,,,,55,43,0.78,,,
,2. East jaintia hills,2004 - 2005,34,26,0.76,,,,,,
,,2008 - 2009,,,,34,17,0.5,,,
,,2009 - 2010,35,16,0.46,,,,,,
,,2010 - 2011,34,16,0.47,,,,,,
,,2011 - 2012,35,18,0.51,,,,,,
,,2012 - 2013,37,25,0.68,,,,,,
,,2013 - 2014,32,22,0.69,,,,,,
,,2014 - 2015,33,23,0.7,,,,,,
,,2015 - 2016,,,,33,24,0.73,,,
,,2016 - 2017,,,,34,24,0.71,,,
,,2017 - 2018,,,,34,24,0.71,,,
,,2018 - 2019,,,,35,25,0.71,,,
,,2019 - 2020,,,,36,26,0.72,,,
,,2020 - 2021,,,,37,27,0.73,,,
,3. East khasi hills,2004 - 2005,173,112,0.65,,,,,,
,,2008 - 2009,,,,168,104,0.62,,,
,,2009 - 2010,167,105,0.63,,,,,,
,,2010 - 2011,165,103,0.62,,,,,,
,,2011 - 2012,172,112,0.65,,,,,,
,,2012 - 2013,179,151,0.84,,,,,,
,,2013 - 2014,182,154,0.85,,,,,,
,,2014 - 2015,183,158,0.86,,,,,,
,,2015 - 2016,,,,185,161,0.87,,,
,,2016 - 2017,,,,186,163,0.88,,,
,,2017 - 2018,,,,188,166,0.88,,,
,,2018 - 2019,,,,189,167,0.88,,,
,,2019 - 2020,,,,190,168,0.88,,,
,,2020 - 2021,,,,191,169,0.88,,,
,4. North garo hills,2013 - 2014,27,14,0.52,,,,,,
,,2014 - 2015,27,15,0.56,,,,,,
,,2015 - 2016,,,,34,17,0.5,,,
,,2016 - 2017,,,,35,18,0.51,,,
,,2017 - 2018,,,,35,18,0.51,,,
,,2018 - 2019,,,,35,18,0.51,,,
,,2019 - 2020,,,,35,18,0.51,,,
,,2020 - 2021,,,,35,18,0.51,,,
,5. Ri bhoi,2004 - 2005,147,88,0.6,,,,,,
,,2008 - 2009,,,,145,85,0.59,,,
,,2009 - 2010,146,87,0.6,,,,,,
,,2010 - 2011,144,85,0.59,,,,,,
,,2011 - 2012,147,87,0.59,,,,,,
,,2012 - 2013,153,118,0.77,,,,,,
,,2013 - 2014,156,121,0.78,,,,,,
,,2014 - 2015,160,125,0.78,,,,,,
,,2015 - 2016,,,,162,129,0.8,,,
,,2016 - 2017,,,,164,132,0.8,,,
,,2017 - 2018,,,,166,134,0.81,,,
,,2018 - 2019,,,,168,136,0.81,,,
,,2019 - 2020,,,,169,137,0.81,,,
,,2020 - 2021,,,,170,138,0.81,,,
,6. South garo hills,2004 - 2005,42,34,0.81,,,,,,
,,2008 - 2009,,,,43,22,0.51,,,
,,2009 - 2010,44,21,0.48,,,,,,
,,2010 - 2011,45,22,0.49,,,,,,
,,2011 - 2012,46,23,0.5,,,,,,
,,2012 - 2013,48,31,0.65,,,,,,
,,2013 - 2014,49,32,0.65,,,,,,
,,2014 - 2015,50,33,0.66,,,,,,
,,2015 - 2016,,,,51,34,0.67,,,
,,2016 - 2017,,,,52,35,0.67,,,
,,2017 - 2018,,,,53,36,0.68,,,
,,2018 - 2019,,,,54,37,0.69,,,
,,2019 - 2020,,,,55,38,0.69,,,
,,2020 - 2021,,,,56,39,0.7,,,
,7. South west garo hills,2013 - 2014,58,33,0.57,,,,,,
,,2014 - 2015,59,34,0.58,,,,,,
,,2015 - 2016,,,,59,35,0.59,,,
,,2016 - 2017,,,,60,36,0.6,,,
,,2017 - 2018,,,,61,37,0.61,,,
,,2018 - 2019,,,,62,38,0.61,,,
,,2019 - 2020,,,,63,39,0.62,,,
,,2020 - 2021,,,,64,40,0.63,,,
,8. South west khasi hills,2013 - 2014,84,72,0.86,,,,,,
,,2014 - 2015,85,74,0.87,,,,,,
,,2015 - 2016,,,,86,76,0.88,,,
,,2016 - 2017,,,,87,78,0.9,,,
,,2017 - 2018,,,,89,80,0.9,,,
,,2018 - 2019,,,,90,81,0.9,,,
,,2019 - 2020,,,,91,82,0.9,,,
,,2020 - 2021,,,,92,83,0.9,,,
,9. West garo hills,2004 - 2005,338,154,0.46,,,,,,
,,2008 - 2009,,,,336,151,0.45,,,
,,2009 - 2010,336,148,0.44,,,,,,
,,2010 - 2011,337,150,0.45,,,,,,
,,2011 - 2012,341,159,0.47,,,,,,
,,2012 - 2013,355,214,0.6,,,,,,
,,2013 - 2014,303,186,0.61,,,,,,
,,2014 - 2015,304,192,0.63,,,,,,
,,2015 - 2016,,,,305,196,0.64,,,
,,2016 - 2017,,,,306,199,0.65,,,
,,2017 - 2018,,,,308,201,0.65,,,
,,2018 - 2019,,,,309,202,0.65,,,
,,2019 - 2020,,,,310,203,0.65,,,
,,2020 - 2021,,,,311,204,0.66,,,
,10. West jaintia hills,2013 - 2014,6,4,0.67,,,,,,
,,2014 - 2015,7,6,0.86,,,,,,
,,2015 - 2016,,,,7,7,1,,,
,,2016 - 2017,,,,8,8,1,,,
,,2017 - 2018,,,,8,8,1,,,
,,2018 - 2019,,,,9,9,1,,,
,,2019 - 2020,,,,10,10,1,,,
,,2020 - 2021,,,,11,11,1,,,
,11. West khasi hills,2004 - 2005,103,68,0.66,,,,,,
,,2008 - 2009,,,,102,69,0.68,,,
,,2009 - 2010,104,68,0.65,,,,,,
,,2010 - 2011,102,66,0.65,,,,,,
,,2011 - 2012,105,69,0.66,,,,,,
,,2012 - 2013,110,93,0.85,,,,,,
,,2013 - 2014,28,23,0.82,,,,,,
,,2014 - 2015,29,24,0.83,,,,,,
,,2015 - 2016,,,,29,25,0.86,,,
,,2016 - 2017,,,,30,25,0.83,,,
,,2017 - 2018,,,,31,26,0.84,,,
,,2018 - 2019,,,,32,27,0.84,,,
,,2019 - 2020,,,,33,28,0.85,,,
,,2020 - 2021,,,,34,29,0.85,,,
8. Puducherry,1. Mahe,2000 - 2001,12,7,0.58,,,,,,
,,2001 - 2002,12,11,0.92,,,,,,
,,2002 - 2003,12,8,0.67,,,,,,
,,2003 - 2004,12,8,0.67,,,,,,
,,2004 - 2005,12,7,0.58,,,,,,
,,2005 - 2006,12,7,0.58,,,,,,
,,2006 - 2007,,,,,,,12,7,0.58
,,2007 - 2008,,,,,,,12,7,0.58
,,2008 - 2009,,,,,,,12,8,0.67
,,2009 - 2010,,,,,,,12,8,0.67
,,2010 - 2011,,,,,,,11,6,0.55
,,2011 - 2012,,,,,,,11,5,0.45
,,2016 - 2017,,,,,,,10,18,1.8
,,2017 - 2018,,,,,,,10,18,1.8
,,2018 - 2019,,,,,,,11,15,1.36
,,2019 - 2020,,,,,,,11,15,1.36
,,2020 - 2021,,,,,,,11,15,1.36
,,2021 - 2022,,,,,,,10,14,1.4
,,2022 - 2023,,,,,,,10,14,1.4
9. Tamil Nadu,1. Coimbatore,2003 - 2004,127,25,0.2,,,,,,
,,2005 - 2006,128,25,0.2,,,,,,
,,2006 - 2007,129,25,0.19,,,,,,
,,2007 - 2008,129,25,0.19,,,,,,
,,2008 - 2009,127,25,0.2,,,,,,
,,2009 - 2010,129,27,0.21,,,,,,
,,2011 - 2012,129,27,0.21,,,,,,
,,2013 - 2014,128,26,0.2,,,,,,
,,2014 - 2015,128,27,0.21,,,,,,
,,2015 - 2016,128,27,0.21,,,,,,
,,2016 - 2017,129,27,0.21,,,,,,
,,2017 - 2018,135,28,0.21,,,,,,
,,2018 - 2019,135,28,0.21,,,,,,
,,2019 - 2020,141,29,0.21,,,,,,
,,2020 - 2021,141,31,0.22,,,,,,
,,2021 - 2022,155,33,0.21,,,,,,
,,2022 - 2023,154,32,0.21,,,,,,
,2. Cuddalore,2016 - 2017,1,,0,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2021 - 2022,3,1,0.33,,,,,,
,,2022 - 2023,12,3,0.25,,,,,,
,3. Dharmapuri,2007 - 2008,1,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2011 - 2012,5,1,0.2,,,,,,
,,2015 - 2016,30,5,0.17,,,,,,
,,2016 - 2017,3,,0,,,,,,
,,2017 - 2018,2,,0,,,,,,
,,2018 - 2019,118,,0,,,,,,
,,2019 - 2020,118,19,0.16,,,,,,
,,2020 - 2021,91,20,0.22,,,,,,
,,2021 - 2022,107,19,0.18,,,,,,
,,2022 - 2023,84,16,0.19,,,,,,
,4. Dindigul,2000 - 2001,790,286,0.36,,,,,,
,,2003 - 2004,791,286,0.36,,,,,,
,,2005 - 2006,755,273,0.36,,,,,,
,,2006 - 2007,753,273,0.36,,,,,,
,,2007 - 2008,684,248,0.36,,,,,,
,,2008 - 2009,659,239,0.36,,,,,,
,,2009 - 2010,716,259,0.36,,,,,,
,,2011 - 2012,949,344,0.36,,,,,,
,,2013 - 2014,782,283,0.36,,,,,,
,,2014 - 2015,923,334,0.36,,,,,,
,,2015 - 2016,999,362,0.36,,,,,,
,,2016 - 2017,957,348,0.36,,,,,,
,,2017 - 2018,"1,000.00",362,0.36,,,,,,
,,2018 - 2019,959,347,0.36,,,,,,
,,2019 - 2020,"1,050.00",380,0.36,,,,,,
,,2020 - 2021,"1,224.00",268,0.22,,,,,,
,,2021 - 2022,"1,293.00",431,0.33,,,,,,
,,2022 - 2023,"1,460.00",478,0.33,,,,,,
,5. Erode,2000 - 2001,1,,0,,,,,,
,,2003 - 2004,1,,0,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,
,,2007 - 2008,2,,0,,,,,,
,,2008 - 2009,6,1,0.17,,,,,,
,,2009 - 2010,3,,0,,,,,,
,,2011 - 2012,7,2,0.29,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,2,,0,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2017 - 2018,4,1,0.25,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,10,2,0.2,,,,,,
,,2020 - 2021,20,4,0.2,,,,,,
,,2021 - 2022,40,9,0.23,,,,,,
,,2022 - 2023,51,11,0.22,,,,,,
,6. Kallakurichi,2020 - 2021,19,4,0.21,,,,,,
,,2021 - 2022,54,11,0.2,,,,,,
,,2022 - 2023,81,17,0.21,,,,,,
,7. Kanniyakumari,2003 - 2004,115,17,0.15,,,,,,
,,2005 - 2006,83,13,0.16,,,,,,
,,2006 - 2007,113,17,0.15,,,,,,
,,2007 - 2008,90,14,0.16,,,,,,
,,2008 - 2009,40,6,0.15,,,,,,
,,2009 - 2010,97,15,0.15,,,,,,
,,2011 - 2012,153,23,0.15,,,,,,
,,2013 - 2014,226,35,0.15,,,,,,
,,2014 - 2015,239,37,0.15,,,,,,
,,2015 - 2016,284,43,0.15,,,,,,
,,2016 - 2017,288,44,0.15,,,,,,
,,2017 - 2018,283,43,0.15,,,,,,
,,2018 - 2019,293,45,0.15,,,,,,
,,2019 - 2020,323,49,0.15,,,,,,
,,2020 - 2021,319,70,0.22,,,,,,
,,2021 - 2022,321,53,0.17,,,,,,
,,2022 - 2023,311,53,0.17,,,,,,
,8. Krishnagiri,2003 - 2004,2,,0,,,,,,
,,2005 - 2006,2,,0,,,,,,
,,2006 - 2007,6,1,0.17,,,,,,
,,2007 - 2008,5,1,0.2,,,,,,
,,2008 - 2009,2,,0,,,,,,
,,2009 - 2010,2,,0,,,,,,
,,2011 - 2012,2,,0,,,,,,
,,2019 - 2020,1,0,0,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2021 - 2022,2,0,0,,,,,,
,9. Mayiladuthurai,2020 - 2021,1,0,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,10. Namakkal,2000 - 2001,169,31,0.18,,,,,,
,,2003 - 2004,581,107,0.18,,,,,,
,,2005 - 2006,79,15,0.19,,,,,,
,,2006 - 2007,33,6,0.18,,,,,,
,,2007 - 2008,144,26,0.18,,,,,,
,,2008 - 2009,193,36,0.19,,,,,,
,,2009 - 2010,292,54,0.18,,,,,,
,,2011 - 2012,621,114,0.18,,,,,,
,,2013 - 2014,635,117,0.18,,,,,,
,,2014 - 2015,903,166,0.18,,,,,,
,,2015 - 2016,988,182,0.18,,,,,,
,,2016 - 2017,"1,340.00",247,0.18,,,,,,
,,2017 - 2018,"1,537.00",283,0.18,,,,,,
,,2018 - 2019,"1,741.00",320,0.18,,,,,,
,,2019 - 2020,"1,990.00",366,0.18,,,,,,
,,2020 - 2021,"2,348.00",514,0.22,,,,,,
,,2021 - 2022,"2,345.00",448,0.19,,,,,,
,,2022 - 2023,"2,517.00",484,0.19,,,,,,
,11. Pudukkottai,2003 - 2004,1,,0,,,,,,
,,2005 - 2006,2,,0,,,,,,
,,2006 - 2007,2,,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2016 - 2017,3,1,0.33,,,,,,
,,2017 - 2018,11,2,0.18,,,,,,
,,2018 - 2019,10,2,0.2,,,,,,
,,2019 - 2020,7,2,0.29,,,,,,
,,2020 - 2021,6,1,0.17,,,,,,
,,2021 - 2022,9,2,0.22,,,,,,
,,2022 - 2023,12,2,0.17,,,,,,
,12. Salem,2000 - 2001,12,2,0.17,,,,,,
,,2003 - 2004,19,3,0.16,,,,,,
,,2005 - 2006,25,5,0.2,,,,,,
,,2006 - 2007,20,4,0.2,,,,,,
,,2007 - 2008,44,8,0.18,,,,,,
,,2008 - 2009,53,10,0.19,,,,,,
,,2009 - 2010,71,13,0.18,,,,,,
,,2011 - 2012,816,150,0.18,,,,,,
,,2013 - 2014,813,150,0.18,,,,,,
,,2014 - 2015,841,155,0.18,,,,,,
,,2015 - 2016,838,154,0.18,,,,,,
,,2016 - 2017,"1,035.00",190,0.18,,,,,,
,,2017 - 2018,"1,117.00",206,0.18,,,,,,
,,2018 - 2019,"1,126.00",207,0.18,,,,,,
,,2019 - 2020,"1,160.00",213,0.18,,,,,,
,,2020 - 2021,"1,181.00",259,0.22,,,,,,
,,2021 - 2022,"1,411.00",269,0.19,,,,,,
,,2022 - 2023,"1,454.00",280,0.19,,,,,,
,13. Thanjavur,2003 - 2004,2,,0,,,,,,
,,2005 - 2006,6,1,0.17,,,,,,
,,2006 - 2007,11,2,0.18,,,,,,
,,2007 - 2008,8,2,0.25,,,,,,
,,2008 - 2009,8,2,0.25,,,,,,
,,2009 - 2010,8,2,0.25,,,,,,
,,2011 - 2012,11,2,0.18,,,,,,
,,2013 - 2014,8,1,0.13,,,,,,
,,2014 - 2015,7,1,0.14,,,,,,
,,2015 - 2016,36,7,0.19,,,,,,
,,2016 - 2017,6,1,0.17,,,,,,
,,2017 - 2018,10,2,0.2,,,,,,
,,2018 - 2019,22,4,0.18,,,,,,
,,2019 - 2020,6,1,0.17,,,,,,
,,2020 - 2021,4,1,0.25,,,,,,
,,2021 - 2022,11,2,0.18,,,,,,
,,2022 - 2023,4,1,0.25,,,,,,
,14. The nilgiris,2000 - 2001,637,123,0.19,,,,,,
,,2003 - 2004,"2,434.00",470,0.19,,,,,,
,,2005 - 2006,"2,543.00",491,0.19,,,,,,
,,2006 - 2007,"2,526.00",488,0.19,,,,,,
,,2007 - 2008,"1,908.00",368,0.19,,,,,,
,,2008 - 2009,"1,919.00",370,0.19,,,,,,
,,2009 - 2010,"1,358.00",244,0.18,,,,,,
,,2011 - 2012,960,162,0.17,,,,,,
,,2013 - 2014,"1,069.00",190,0.18,,,,,,
,,2014 - 2015,853,149,0.17,,,,,,
,,2015 - 2016,915,159,0.17,,,,,,
,,2016 - 2017,979,172,0.18,,,,,,
,,2017 - 2018,997,175,0.18,,,,,,
,,2018 - 2019,975,171,0.18,,,,,,
,,2019 - 2020,980,172,0.18,,,,,,
,,2020 - 2021,984,215,0.22,,,,,,
,,2021 - 2022,987,182,0.18,,,,,,
,,2022 - 2023,992,184,0.19,,,,,,
,15. Theni,2000 - 2001,24,6,0.25,,,,,,
,,2003 - 2004,63,16,0.25,,,,,,
,,2005 - 2006,67,17,0.25,,,,,,
,,2006 - 2007,64,17,0.27,,,,,,
,,2007 - 2008,71,19,0.27,,,,,,
,,2008 - 2009,73,19,0.26,,,,,,
,,2009 - 2010,72,21,0.29,,,,,,
,,2011 - 2012,72,23,0.32,,,,,,
,,2013 - 2014,64,19,0.3,,,,,,
,,2014 - 2015,74,23,0.31,,,,,,
,,2015 - 2016,96,29,0.3,,,,,,
,,2016 - 2017,122,37,0.3,,,,,,
,,2017 - 2018,127,39,0.31,,,,,,
,,2018 - 2019,124,38,0.31,,,,,,
,,2019 - 2020,115,35,0.3,,,,,,
,,2020 - 2021,144,32,0.22,,,,,,
,,2021 - 2022,147,42,0.29,,,,,,
,,2022 - 2023,148,42,0.28,,,,,,
,16. Thenkasi,2020 - 2021,36,8,0.22,,,,,,
,,2021 - 2022,37,8,0.22,,,,,,
,,2022 - 2023,44,10,0.23,,,,,,
,17. Thiruvarur,2019 - 2020,2,0,0,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,18. Tiruchirappalli,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,7,1,0.14,,,,,,
,,2020 - 2021,12,3,0.25,,,,,,
,,2021 - 2022,20,4,0.2,,,,,,
,,2022 - 2023,24,5,0.21,,,,,,
,19. Tirunelveli,2000 - 2001,7,1,0.14,,,,,,
,,2003 - 2004,43,9,0.21,,,,,,
,,2005 - 2006,51,10,0.2,,,,,,
,,2006 - 2007,42,9,0.21,,,,,,
,,2007 - 2008,41,8,0.2,,,,,,
,,2008 - 2009,39,8,0.21,,,,,,
,,2009 - 2010,40,8,0.2,,,,,,
,,2011 - 2012,40,8,0.2,,,,,,
,,2013 - 2014,188,38,0.2,,,,,,
,,2014 - 2015,24,5,0.21,,,,,,
,,2015 - 2016,24,5,0.21,,,,,,
,,2016 - 2017,34,7,0.21,,,,,,
,,2017 - 2018,34,7,0.21,,,,,,
,,2018 - 2019,33,7,0.21,,,,,,
,,2019 - 2020,34,7,0.21,,,,,,
,20. Tirupathur,2022 - 2023,4,1,0.25,,,,,,
,21. Tiruppur,2008 - 2009,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,8,1,0.13,,,,,,
,,2016 - 2017,7,1,0.14,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,1,0,0,,,,,,
,,2020 - 2021,2,0,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,22. Tiruvannamalai,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,26,6,0.23,,,,,,
,,2019 - 2020,94,22,0.23,,,,,,
,,2020 - 2021,63,14,0.22,,,,,,
,,2021 - 2022,20,5,0.25,,,,,,
,,2022 - 2023,103,23,0.22,,,,,,
,23. Vellore,2005 - 2006,1,,0,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2021 - 2022,7,1,0.14,,,,,,
,24. Villupuram,2016 - 2017,2,,0,,,,,,
,,2017 - 2018,5,1,0.2,,,,,,
,,2018 - 2019,6,1,0.17,,,,,,
,,2019 - 2020,41,8,0.2,,,,,,
,,2020 - 2021,6,1,0.17,,,,,,
,,2021 - 2022,1,0,0,,,,,,
