State,District,Year,Guar seed,,,,,,,,
,,2013 - 2014,,,,,,,"4,506.00","3,992.00",0.89
,,2014 - 2015,,,,,,,325,251,0.77
,,2015 - 2016,,,,,,,"1,435.00",887,0.62
,,2016 - 2017,,,,,,,140,93,0.66
,,2017 - 2018,,,,,,,546,363,0.66
,,2018 - 2019,,,,,,,636,445,0.7
,,2019 - 2020,,,,263,192,0.73,,,
,,2020 - 2021,,,,303,197,0.65,,,
,,2021 - 2022,,,,165,108,0.65,,,
4. Haryana,1. Bhiwani,2012 - 2013,,,,,,,"1,60,849.00","1,20,675.00",0.75
,,2017 - 2018,,,,"76,800.00","62,500.00",0.81,,,
,,2018 - 2019,,,,"55,870.00","45,082.00",0.81,,,
,,2019 - 2020,,,,"31,497.00","28,347.00",0.9,,,
,,2020 - 2021,,,,,,,"31,497.00","28,347.00",0.9
,,2021 - 2022,,,,,,,"19,193.00","17,274.00",0.9
,2. Charki dadri,2017 - 2018,,,,"27,800.00","22,800.00",0.82,,,
,,2018 - 2019,,,,"19,931.00","17,832.00",0.89,,,
,,2019 - 2020,,,,"6,728.00","6,055.00",0.9,,,
,,2020 - 2021,,,,,,,"6,728.00","6,055.00",0.9
,,2021 - 2022,,,,,,,"4,078.00","3,670.00",0.9
,3. Faridabad,2018 - 2019,,,,27,24,0.89,,,
,,2019 - 2020,,,,19,17,0.89,,,
,,2020 - 2021,,,,,,,19,17,0.89
,,2021 - 2022,,,,,,,20,18,0.9
,4. Fatehabad,2012 - 2013,,,,,,,"21,306.00","13,849.00",0.65
,,2017 - 2018,,,,"14,300.00","12,000.00",0.84,,,
,,2018 - 2019,,,,"11,051.00","10,543.00",0.95,,,
,,2019 - 2020,,,,"9,917.00","9,461.00",0.95,,,
,,2020 - 2021,,,,,,,"9,917.00","9,461.00",0.95
,,2021 - 2022,,,,,,,"9,260.00","8,834.00",0.95
,5. Gurgaon,2012 - 2013,,,,,,,"1,679.00","1,091.00",0.65
,,2017 - 2018,,,,600,500,0.83,,,
,,2018 - 2019,,,,548,438,0.8,,,
,,2019 - 2020,,,,221,177,0.8,,,
,,2020 - 2021,,,,,,,221,177,0.8
,,2021 - 2022,,,,,,,107,85,0.79
,6. Hisar,2012 - 2013,,,,,,,"64,142.00","44,899.00",0.7
,,2017 - 2018,,,,"59,000.00","50,400.00",0.85,,,
,,2018 - 2019,,,,"46,990.00","41,790.00",0.89,,,
,,2019 - 2020,,,,"32,056.00","32,056.00",1,,,
,,2020 - 2021,,,,,,,"17,578.00","17,578.00",1
,,2021 - 2022,,,,,,,"21,420.00","21,420.00",1
,7. Jhajjar,2012 - 2013,,,,,,,"6,500.00","4,550.00",0.7
,,2017 - 2018,,,,"2,600.00","2,100.00",0.81,,,
,,2018 - 2019,,,,"1,884.00","1,800.00",0.96,,,
,,2019 - 2020,,,,284,271,0.95,,,
,,2020 - 2021,,,,,,,261,249,0.95
,,2021 - 2022,,,,,,,332,317,0.95
,8. Jind,2012 - 2013,,,,,,,711,462,0.65
,,2017 - 2018,,,,300,200,0.67,,,
,,2018 - 2019,,,,140,98,0.7,,,
,,2019 - 2020,,,,212,148,0.7,,,
,,2020 - 2021,,,,,,,212,148,0.7
,,2021 - 2022,,,,,,,31,22,0.71
,9. Kaithal,2012 - 2013,,,,,,,44,26,0.59
,10. Karnal,2012 - 2013,,,,,,,130,78,0.6
,,2018 - 2019,,,,16,15,0.94,,,
,,2019 - 2020,,,,10,9,0.9,,,
,,2020 - 2021,,,,,,,10,9,0.9
,11. Mahendragarh,2012 - 2013,,,,,,,"40,598.00","28,419.00",0.7
,,2017 - 2018,,,,"23,100.00","19,200.00",0.83,,,
,,2018 - 2019,,,,"14,900.00","12,900.00",0.87,,,
,,2019 - 2020,,,,"5,694.00","4,931.00",0.87,,,
,,2020 - 2021,,,,,,,"5,694.00","4,931.00",0.87
,,2021 - 2022,,,,,,,"5,000.00","4,330.00",0.87
,12. Mewat,2012 - 2013,,,,,,,611,367,0.6
,,2017 - 2018,,,,100,100,1,,,
,,2018 - 2019,,,,65,54,0.83,,,
,,2019 - 2020,,,,9,7,0.78,,,
,,2020 - 2021,,,,,,,9,8,0.89
,,2021 - 2022,,,,,,,7,6,0.86
,13. Palwal,2017 - 2018,,,,100,,0,,,
,,2021 - 2022,,,,,,,5,0,0
,14. Panchkula,2012 - 2013,,,,,,,9,5,0.56
,,2019 - 2020,,,,2,2,1,,,
,,2020 - 2021,,,,,,,4,4,1
,,2021 - 2022,,,,,,,3,0,0
,15. Panipat,2012 - 2013,,,,,,,155,101,0.65
,,2019 - 2020,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,1,1
,,2021 - 2022,,,,,,,4,3,0.75
,16. Rewari,2012 - 2013,,,,,,,"9,516.00","7,137.00",0.75
,,2017 - 2018,,,,"3,700.00","3,000.00",0.81,,,
,,2018 - 2019,,,,"2,140.00","1,889.00",0.88,,,
,,2019 - 2020,,,,425,375,0.88,,,
,,2020 - 2021,,,,,,,425,375,0.88
,,2021 - 2022,,,,,,,321,283,0.88
,17. Rohtak,2012 - 2013,,,,,,,"2,700.00","1,620.00",0.6
,,2017 - 2018,,,,700,600,0.86,,,
,,2018 - 2019,,,,52,45,0.87,,,
,,2019 - 2020,,,,50,43,0.86,,,
,,2020 - 2021,,,,,,,50,43,0.86
,,2021 - 2022,,,,,,,46,40,0.87
,18. Sirsa,2012 - 2013,,,,,,,"78,342.00","54,839.00",0.7
,,2017 - 2018,,,,"63,400.00","53,300.00",0.84,,,
,,2018 - 2019,,,,"60,338.00","49,660.00",0.82,,,
,,2019 - 2020,,,,"48,681.00","38,945.00",0.8,,,
,,2020 - 2021,,,,,,,"48,681.00","38,945.00",0.8
,,2021 - 2022,,,,,,,"53,212.00","42,570.00",0.8
,19. Sonipat,2012 - 2013,,,,,,,523,261,0.5
,,2018 - 2019,,,,5,4,0.8,,,
,,2020 - 2021,,,,,,,14,11,0.79
,,2021 - 2022,,,,,,,18,17,0.94
5. Punjab,1. Amritsar,2021 - 2022,,,,"2,900.00","3,000.00",1.03,,,
,2. Barnala,2008 - 2009,,,,100,100,1,,,
,,2013 - 2014,,,,400,500,1.25,,,
,,2014 - 2015,,,,100,100,1,,,
,,2015 - 2016,,,,200,330,1.65,,,
,,2016 - 2017,,,,100,100,1,,,
,3. Bathinda,2002 - 2003,,,,,,,"11,100.00","9,400.00",0.85
,,2003 - 2004,,,,,,,"14,700.00","11,900.00",0.81
,,2004 - 2005,,,,,,,"9,600.00","7,200.00",0.75
,,2005 - 2006,,,,,,,"8,100.00","6,200.00",0.77
,,2006 - 2007,,,,,,,"7,200.00","5,500.00",0.76
,,2007 - 2008,,,,"4,700.00","3,600.00",0.77,,,
,,2008 - 2009,,,,"7,500.00","5,700.00",0.76,,,
,,2009 - 2010,,,,"4,700.00","3,700.00",0.79,,,
,,2010 - 2011,,,,"4,100.00","3,300.00",0.8,,,
,,2011 - 2012,,,,"3,000.00","2,500.00",0.83,,,
,,2012 - 2013,,,,"4,300.00","3,800.00",0.88,,,
,,2013 - 2014,,,,"8,400.00","6,000.00",0.71,,,
,,2014 - 2015,,,,"7,000.00","4,600.00",0.66,,,
,,2015 - 2016,,,,"14,100.00","5,610.00",0.4,,,
,,2016 - 2017,,,,"9,400.00","7,200.00",0.77,,,
,,2017 - 2018,,,,"6,500.00","4,800.00",0.74,,,
,,2018 - 2019,,,,"4,900.00","3,700.00",0.76,,,
,,2019 - 2020,,,,"4,300.00","3,400.00",0.79,,,
,,2022 - 2023,,,,"3,400.00","1,400.00",0.41,,,
,4. Faridkot,2002 - 2003,,,,,,,700,500,0.71
,,2003 - 2004,,,,,,,"1,100.00",800,0.73
,,2004 - 2005,,,,,,,600,400,0.67
,,2005 - 2006,,,,,,,400,300,0.75
,,2006 - 2007,,,,,,,100,100,1
,,2007 - 2008,,,,200,100,0.5,,,
,,2008 - 2009,,,,300,500,1.67,,,
,,2009 - 2010,,,,200,200,1,,,
,,2010 - 2011,,,,400,300,0.75,,,
,,2012 - 2013,,,,300,200,0.67,,,
,,2013 - 2014,,,,"1,500.00","1,200.00",0.8,,,
,,2014 - 2015,,,,700,"1,200.00",1.71,,,
,,2015 - 2016,,,,"2,100.00","3,570.00",1.7,,,
,,2016 - 2017,,,,300,500,1.67,,,
,,2017 - 2018,,,,100,200,2,,,
,,2018 - 2019,,,,100,200,2,,,
,,2021 - 2022,,,,100,100,1,,,
,5. Fatehgarh sahib,2021 - 2022,,,,"1,300.00","1,300.00",1,,,
,6. Fazilka,2011 - 2012,,,,"5,300.00","4,400.00",0.83,,,
,,2012 - 2013,,,,"11,700.00","11,400.00",0.97,,,
,,2013 - 2014,,,,"17,000.00","14,600.00",0.86,,,
,,2015 - 2016,,,,"20,100.00","15,630.00",0.78,,,
,,2016 - 2017,,,,"15,200.00","12,300.00",0.81,,,
,,2017 - 2018,,,,"12,500.00","9,100.00",0.73,,,
,,2018 - 2019,,,,"11,200.00","8,500.00",0.76,,,
,,2019 - 2020,,,,"9,200.00","7,200.00",0.78,,,
,,2020 - 2021,,,,"7,700.00","6,000.00",0.78,,,
,,2021 - 2022,,,,"5,900.00","6,200.00",1.05,,,
,,2022 - 2023,,,,"3,700.00","3,200.00",0.86,,,
,7. Firozepur,2002 - 2003,,,,,,,"8,100.00","6,000.00",0.74
,,2003 - 2004,,,,,,,"7,400.00","5,600.00",0.76
,,2004 - 2005,,,,,,,"8,500.00","6,700.00",0.79
,,2005 - 2006,,,,,,,"7,900.00","5,700.00",0.72
,,2006 - 2007,,,,,,,"6,000.00","4,400.00",0.73
,,2007 - 2008,,,,"9,500.00","8,000.00",0.84,,,
,,2008 - 2009,,,,"12,500.00","9,500.00",0.76,,,
,,2009 - 2010,,,,"12,500.00","8,800.00",0.7,,,
,,2010 - 2011,,,,"8,700.00","8,000.00",0.92,,,
,,2013 - 2014,,,,400,400,1,,,
,,2014 - 2015,,,,"13,700.00","10,600.00",0.77,,,
,,2015 - 2016,,,,200,140,0.7,,,
,,2016 - 2017,,,,100,100,1,,,
,,2017 - 2018,,,,100,100,1,,,
,,2021 - 2022,,,,100,100,1,,,
,8. Hoshiarpur,2021 - 2022,,,,"1,700.00","1,800.00",1.06,,,
,9. Jalandhar,2021 - 2022,,,,"12,200.00","12,700.00",1.04,,,
,10. Kapurthala,2021 - 2022,,,,"1,600.00","1,700.00",1.06,,,
,11. Mansa,2002 - 2003,,,,,,,"5,500.00","3,600.00",0.65
,,2003 - 2004,,,,,,,"6,300.00","3,100.00",0.49
,,2004 - 2005,,,,,,,"4,200.00","2,300.00",0.55
,,2005 - 2006,,,,,,,"4,300.00","3,200.00",0.74
,,2006 - 2007,,,,,,,"4,500.00","3,800.00",0.84
,,2007 - 2008,,,,"5,400.00","4,600.00",0.85,,,
,,2008 - 2009,,,,"5,200.00","4,400.00",0.85,,,
,,2009 - 2010,,,,"3,000.00","2,500.00",0.83,,,
,,2010 - 2011,,,,"3,100.00","2,900.00",0.94,,,
,,2011 - 2012,,,,"1,900.00","1,600.00",0.84,,,
,,2012 - 2013,,,,"2,900.00","2,900.00",1,,,
,,2013 - 2014,,,,"4,800.00","4,500.00",0.94,,,
,,2014 - 2015,,,,"3,800.00","2,800.00",0.74,,,
,,2015 - 2016,,,,"7,700.00","7,320.00",0.95,,,
,,2016 - 2017,,,,"5,400.00","5,600.00",1.04,,,
,,2017 - 2018,,,,"3,600.00","4,000.00",1.11,,,
,,2018 - 2019,,,,"2,900.00","3,400.00",1.17,,,
,,2019 - 2020,,,,"2,300.00","2,800.00",1.22,,,
,,2022 - 2023,,,,"1,400.00","2,000.00",1.43,,,
,12. Moga,2003 - 2004,,,,,,,200,100,0.5
,,2004 - 2005,,,,,,,100,100,1
,,2009 - 2010,,,,100,100,1,,,
,13. Muktsar,2002 - 2003,,,,,,,"5,400.00","3,200.00",0.59
,,2003 - 2004,,,,,,,"8,300.00","5,200.00",0.63
,,2004 - 2005,,,,,,,"3,900.00","2,500.00",0.64
,,2005 - 2006,,,,,,,"3,100.00","2,300.00",0.74
,,2006 - 2007,,,,,,,"2,600.00","2,000.00",0.77
,,2007 - 2008,,,,"2,100.00","1,900.00",0.9,,,
,,2008 - 2009,,,,"2,300.00","2,000.00",0.87,,,
,,2009 - 2010,,,,"1,300.00","1,500.00",1.15,,,
,,2010 - 2011,,,,"1,900.00","2,300.00",1.21,,,
,,2012 - 2013,,,,"1,900.00","2,200.00",1.16,,,
,,2013 - 2014,,,,"4,200.00","2,800.00",0.67,,,
,,2014 - 2015,,,,"2,700.00","1,700.00",0.63,,,
,,2015 - 2016,,,,"4,000.00",800,0.2,,,
,,2016 - 2017,,,,"2,600.00","2,700.00",1.04,,,
,,2017 - 2018,,,,"1,500.00","1,200.00",0.8,,,
,,2018 - 2019,,,,"1,200.00","1,000.00",0.83,,,
,,2019 - 2020,,,,500,400,0.8,,,
,,2020 - 2021,,,,500,800,1.6,,,
,,2021 - 2022,,,,400,300,0.75,,,
,,2022 - 2023,,,,400,400,1,,,
,14. Nawanshahr,2013 - 2014,,,,100,100,1,,,
,,2014 - 2015,,,,100,100,1,,,
,,2020 - 2021,,,,100,100,1,,,
,15. Patiala,2004 - 2005,,,,,,,100,100,1
,16. Rupnagar,2021 - 2022,,,,"1,500.00","1,600.00",1.07,,,
,17. Sangrur,2003 - 2004,,,,,,,500,400,0.8
,,2004 - 2005,,,,,,,100,100,1
,,2005 - 2006,,,,,,,100,100,1
,,2013 - 2014,,,,300,300,1,,,
,,2014 - 2015,,,,100,100,1,,,
,,2015 - 2016,,,,200,40,0.2,,,
,,2016 - 2017,,,,200,200,1,,,
,,2017 - 2018,,,,100,100,1,,,
,,2018 - 2019,,,,100,100,1,,,
,,2020 - 2021,,,,100,100,1,,,
6. Rajasthan,1. Ajmer,2000 - 2001,,,,,,,"14,313.00",687,0.05
,,2001 - 2002,,,,,,,"6,156.00","4,578.00",0.74
,,2002 - 2003,,,,,,,"7,030.00",28,0
,,2003 - 2004,,,,,,,"2,294.00",,0
,,2004 - 2005,,,,,,,"5,320.00",358,0.07
,,2005 - 2006,,,,,,,"2,099.00",241,0.11
,,2006 - 2007,,,,,,,"6,285.00","4,119.00",0.66
,,2007 - 2008,,,,,,,"13,812.00","7,400.00",0.54
,,2008 - 2009,,,,,,,"10,038.00","4,536.00",0.45
,,2009 - 2010,,,,,,,"8,634.00",42,0
,,2010 - 2011,,,,,,,"6,375.00","5,471.00",0.86
,,2011 - 2012,,,,,,,"5,347.00","3,575.00",0.67
,,2012 - 2013,,,,,,,"19,915.00","11,377.00",0.57
,,2013 - 2014,,,,,,,"44,540.00","30,025.00",0.67
,,2014 - 2015,,,,,,,"29,270.00","17,383.00",0.59
,,2015 - 2016,,,,,,,"32,883.00","10,465.00",0.32
,,2016 - 2017,,,,,,,"19,872.00","15,415.00",0.78
,,2017 - 2018,,,,,,,"16,477.00","13,212.00",0.8
,,2018 - 2019,,,,,,,"13,498.00","11,131.00",0.82
,,2019 - 2020,,,,,,,"12,375.00","12,800.00",1.03
,,2020 - 2021,,,,,,,"10,340.00","10,040.00",0.97
,,2021 - 2022,,,,,,,"11,688.00","9,204.00",0.79
,,2022 - 2023,,,,,,,"13,137.00","10,621.00",0.81
,2. Alwar,2000 - 2001,,,,,,,"45,672.00","40,832.00",0.89
,,2001 - 2002,,,,,,,"45,161.00","21,240.00",0.47
,,2002 - 2003,,,,,,,"15,628.00",452,0.03
,,2003 - 2004,,,,,,,"23,463.00",,0
,,2004 - 2005,,,,,,,"15,028.00","51,334.00",3.42
,,2005 - 2006,,,,,,,"21,018.00","12,925.00",0.61
,,2006 - 2007,,,,,,,"24,900.00","28,842.00",1.16
,,2007 - 2008,,,,,,,"34,662.00","39,916.00",1.15
,,2008 - 2009,,,,,,,"37,818.00","43,515.00",1.15
,,2009 - 2010,,,,,,,"28,868.00","3,466.00",0.12
,,2010 - 2011,,,,,,,"23,399.00","23,806.00",1.02
,,2011 - 2012,,,,,,,"19,084.00","21,939.00",1.15
,,2012 - 2013,,,,,,,"44,214.00","51,822.00",1.17
,,2013 - 2014,,,,,,,"65,047.00","80,239.00",1.23
,,2014 - 2015,,,,,,,"43,407.00","49,688.00",1.14
,,2015 - 2016,,,,,,,"47,342.00","47,732.00",1.01
,,2016 - 2017,,,,,,,"31,622.00","32,060.00",1.01
,,2017 - 2018,,,,,,,"20,189.00","19,936.00",0.99
,,2018 - 2019,,,,,,,"14,254.00","15,339.00",1.08
,,2019 - 2020,,,,,,,"6,194.00","6,303.00",1.02
,,2020 - 2021,,,,,,,"4,539.00","5,972.00",1.32
,,2021 - 2022,,,,,,,"3,390.00","4,152.00",1.22
,,2022 - 2023,,,,,,,"1,257.00","1,679.00",1.34
,3. Banswara,2000 - 2001,,,,,,,"2,036.00",350,0.17
,,2001 - 2002,,,,,,,"1,888.00","1,015.00",0.54
,,2002 - 2003,,,,,,,"1,718.00",473,0.28
,,2003 - 2004,,,,,,,"2,000.00",,0
,,2004 - 2005,,,,,,,455,84,0.18
,,2005 - 2006,,,,,,,"1,164.00",444,0.38
,,2006 - 2007,,,,,,,"1,268.00",98,0.08
,,2007 - 2008,,,,,,,779,548,0.7
,,2009 - 2010,,,,,,,757,131,0.17
,,2010 - 2011,,,,,,,770,398,0.52
,,2011 - 2012,,,,,,,522,311,0.6
,,2012 - 2013,,,,,,,726,507,0.7
,,2013 - 2014,,,,,,,14,12,0.86
,,2014 - 2015,,,,,,,120,71,0.59
,,2015 - 2016,,,,,,,445,207,0.47
,,2016 - 2017,,,,,,,380,151,0.4
,,2017 - 2018,,,,,,,6,2,0.33
,,2018 - 2019,,,,,,,57,19,0.33
,,2019 - 2020,,,,,,,199,90,0.45
,,2020 - 2021,,,,,,,141,64,0.45
,,2021 - 2022,,,,,,,104,44,0.42
,,2022 - 2023,,,,,,,102,55,0.54
,4. Baran,2003 - 2004,,,,,,,63,,0
,,2004 - 2005,,,,,,,24,37,1.54
,,2005 - 2006,,,,,,,13,9,0.69
,,2013 - 2014,,,,,,,465,263,0.57
,,2014 - 2015,,,,,,,128,76,0.59
,,2015 - 2016,,,,,,,311,144,0.46
,,2016 - 2017,,,,,,,247,98,0.4
,,2017 - 2018,,,,,,,14,5,0.36
,,2018 - 2019,,,,,,,2,1,0.5
,,2022 - 2023,,,,,,,13,7,0.54
,5. Barmer,2000 - 2001,,,,,,,"3,75,328.00","47,638.00",0.13
,,2001 - 2002,,,,,,,"3,16,994.00","22,461.00",0.07
,,2002 - 2003,,,,,,,"17,398.00",131,0.01
,,2003 - 2004,,,,,,,"3,12,217.00",,0
,,2004 - 2005,,,,,,,"2,95,916.00","16,018.00",0.05
,,2005 - 2006,,,,,,,"3,52,687.00","24,678.00",0.07
,,2006 - 2007,,,,,,,"4,21,817.00","56,342.00",0.13
,,2007 - 2008,,,,,,,"3,54,664.00","73,403.00",0.21
,,2008 - 2009,,,,,,,"3,58,092.00","24,481.00",0.07
,,2009 - 2010,,,,,,,"3,67,347.00",125,0
,,2010 - 2011,,,,,,,"4,09,097.00","1,42,931.00",0.35
,,2011 - 2012,,,,,,,"4,28,031.00","1,11,709.00",0.26
,,2012 - 2013,,,,,,,"4,14,457.00","59,415.00",0.14
,,2013 - 2014,,,,,,,"4,65,231.00","1,06,637.00",0.23
,,2014 - 2015,,,,,,,"3,41,838.00","67,756.00",0.2
,,2015 - 2016,,,,,,,"4,63,735.00","80,480.00",0.17
,,2016 - 2017,,,,,,,"4,17,454.00","41,561.00",0.1
,,2017 - 2018,,,,,,,"3,82,334.00","71,082.00",0.19
,,2018 - 2019,,,,,,,"2,95,665.00","22,166.00",0.07
,,2019 - 2020,,,,,,,"2,85,703.00","1,46,064.00",0.51
,,2020 - 2021,,,,,,,"2,86,448.00","1,18,884.00",0.42
,,2021 - 2022,,,,,,,"2,68,746.00","42,825.00",0.16
,,2022 - 2023,,,,,,,"2,49,277.00","1,13,463.00",0.46
,6. Bharatpur,2000 - 2001,,,,,,,"10,739.00","9,747.00",0.91
,,2001 - 2002,,,,,,,"12,766.00","11,830.00",0.93
,,2002 - 2003,,,,,,,"5,400.00",424,0.08
,,2003 - 2004,,,,,,,"5,438.00",,0
,,2004 - 2005,,,,,,,"4,129.00","3,585.00",0.87
,,2005 - 2006,,,,,,,"3,141.00","2,864.00",0.91
,,2006 - 2007,,,,,,,"3,591.00","3,528.00",0.98
,,2007 - 2008,,,,,,,"6,816.00","5,994.00",0.88
,,2008 - 2009,,,,,,,"6,332.00","6,169.00",0.97
,,2009 - 2010,,,,,,,"4,461.00","4,253.00",0.95
,,2010 - 2011,,,,,,,"2,967.00","4,338.00",1.46
,,2011 - 2012,,,,,,,"2,175.00","2,793.00",1.28
,,2012 - 2013,,,,,,,"9,868.00","12,577.00",1.27
,,2013 - 2014,,,,,,,"33,354.00","43,222.00",1.3
,,2014 - 2015,,,,,,,"26,286.00","27,945.00",1.06
,,2015 - 2016,,,,,,,"34,598.00","43,630.00",1.26
,,2016 - 2017,,,,,,,"18,878.00","20,006.00",1.06
,,2017 - 2018,,,,,,,"7,029.00","6,262.00",0.89
,,2018 - 2019,,,,,,,"5,685.00","6,269.00",1.1
,,2019 - 2020,,,,,,,"3,972.00","5,110.00",1.29
,,2020 - 2021,,,,,,,"1,730.00","2,176.00",1.26
,,2021 - 2022,,,,,,,873,"1,069.00",1.22
,,2022 - 2023,,,,,,,300,338,1.13
,7. Bhilwara,2000 - 2001,,,,,,,"47,300.00",493,0.01
,,2001 - 2002,,,,,,,"11,674.00","1,168.00",0.1
,,2002 - 2003,,,,,,,"5,644.00",44,0.01
,,2003 - 2004,,,,,,,"10,985.00",,0
,,2004 - 2005,,,,,,,"6,956.00","3,225.00",0.46
