State,District,Year,Mesta,,,,,,,,
,,2001 - 2002,19,75,3.95,,,,,,
,,2002 - 2003,18,71,3.94,,,,,,
,,2003 - 2004,15,59,3.93,,,,,,
,,2004 - 2005,20,79,3.95,,,,,,
,,2005 - 2006,20,79,3.95,,,,,,
,,2006 - 2007,16,63,3.94,,,,,,
,,2007 - 2008,16,63,3.94,,,,,,
,,2008 - 2009,14,55,3.93,,,,,,
,,2009 - 2010,11,43,3.91,,,,,,
,,2010 - 2011,8,32,4,,,,,,
,,2011 - 2012,25,142,5.68,,,,,,
,,2012 - 2013,21,87,4.14,,,,,,
,,2013 - 2014,10,41,4.1,,,,,,
,,2014 - 2015,4,18,4.5,,,,,,
,,2015 - 2016,7,28,4,,,,,,
,,2016 - 2017,4,16,4,,,,,,
,,2017 - 2018,6,22,3.67,,,,,,
,,2018 - 2019,6,33,5.5,,,,,,
,,2019 - 2020,12,75,6.25,,,,,,
,,2020 - 2021,22,154,7,,,,,,
,,2021 - 2022,16,110,6.88,,,,,,
,,2022 - 2023,6,43,7.17,,,,,,
,24. Majuli,2020 - 2021,2,11,5.5,,,,,,
,,2021 - 2022,17,93,5.47,,,,,,
,,2022 - 2023,18,98,5.44,,,,,,
,25. Marigaon,2000 - 2001,200,719,3.6,,,,,,
,,2001 - 2002,200,707,3.54,,,,,,
,,2002 - 2003,210,748,3.56,,,,,,
,,2003 - 2004,200,712,3.56,,,,,,
,,2004 - 2005,150,533,3.55,,,,,,
,,2005 - 2006,180,640,3.56,,,,,,
,,2006 - 2007,131,466,3.56,,,,,,
,,2007 - 2008,110,391,3.55,,,,,,
,,2008 - 2009,120,427,3.56,,,,,,
,,2009 - 2010,113,402,3.56,,,,,,
,,2010 - 2011,97,345,3.56,,,,,,
,,2011 - 2012,214,801,3.74,,,,,,
,,2012 - 2013,150,558,3.72,,,,,,
,,2013 - 2014,100,374,3.74,,,,,,
,,2014 - 2015,178,684,3.84,,,,,,
,,2015 - 2016,168,438,2.61,,,,,,
,,2016 - 2017,160,415,2.59,,,,,,
,,2017 - 2018,150,397,2.65,,,,,,
,,2018 - 2019,65,169,2.6,,,,,,
,,2019 - 2020,51,156,3.06,,,,,,
,,2020 - 2021,45,138,3.07,,,,,,
,,2021 - 2022,18,141,7.83,,,,,,
,,2022 - 2023,14,101,7.21,,,,,,
,26. Nagaon,2000 - 2001,142,491,3.46,,,,,,
,,2001 - 2002,158,546,3.46,,,,,,
,,2002 - 2003,158,547,3.46,,,,,,
,,2003 - 2004,134,463,3.46,,,,,,
,,2004 - 2005,91,315,3.46,,,,,,
,,2005 - 2006,70,241,3.44,,,,,,
,,2006 - 2007,70,242,3.46,,,,,,
,,2007 - 2008,84,290,3.45,,,,,,
,,2008 - 2009,90,311,3.46,,,,,,
,,2009 - 2010,84,290,3.45,,,,,,
,,2010 - 2011,78,269,3.45,,,,,,
,,2011 - 2012,98,347,3.54,,,,,,
,,2012 - 2013,91,358,3.93,,,,,,
,,2013 - 2014,132,499,3.78,,,,,,
,,2014 - 2015,141,589,4.18,,,,,,
,,2015 - 2016,48,559,11.65,,,,,,
,,2016 - 2017,44,592,13.45,,,,,,
,,2017 - 2018,40,476,11.9,,,,,,
,,2018 - 2019,40,423,10.58,,,,,,
,,2019 - 2020,39,446,11.44,,,,,,
,,2020 - 2021,33,395,11.97,,,,,,
,,2021 - 2022,33,395,11.97,,,,,,
,,2022 - 2023,33,357,10.82,,,,,,
,27. Nalbari,2000 - 2001,150,583,3.89,,,,,,
,,2001 - 2002,145,564,3.89,,,,,,
,,2002 - 2003,145,564,3.89,,,,,,
,,2003 - 2004,145,564,3.89,,,,,,
,,2004 - 2005,140,544,3.89,,,,,,
,,2005 - 2006,40,156,3.9,,,,,,
,,2006 - 2007,60,233,3.88,,,,,,
,,2007 - 2008,70,272,3.89,,,,,,
,,2008 - 2009,60,234,3.9,,,,,,
,,2009 - 2010,45,175,3.89,,,,,,
,,2010 - 2011,35,136,3.89,,,,,,
,,2011 - 2012,45,234,5.2,,,,,,
,,2012 - 2013,41,167,4.07,,,,,,
,,2013 - 2014,40,164,4.1,,,,,,
,,2014 - 2015,36,151,4.19,,,,,,
,,2015 - 2016,45,175,3.89,,,,,,
,,2016 - 2017,25,102,4.08,,,,,,
,,2017 - 2018,15,61,4.07,,,,,,
,,2018 - 2019,15,63,4.2,,,,,,
,,2019 - 2020,14,60,4.29,,,,,,
,,2020 - 2021,13,112,8.62,,,,,,
,,2021 - 2022,10,90,9,,,,,,
,,2022 - 2023,11,99,9,,,,,,
,28. Sivasagar,2000 - 2001,9,47,5.22,,,,,,
,,2001 - 2002,9,44,4.89,,,,,,
,,2002 - 2003,9,45,5,,,,,,
,,2003 - 2004,10,50,5,,,,,,
,,2004 - 2005,6,29,4.83,,,,,,
,,2005 - 2006,4,20,5,,,,,,
,,2006 - 2007,3,15,5,,,,,,
,,2007 - 2008,1,5,5,,,,,,
,,2011 - 2012,2,13,6.5,,,,,,
,,2012 - 2013,4,21,5.25,,,,,,
,,2013 - 2014,9,48,5.33,,,,,,
,,2014 - 2015,6,32,5.33,,,,,,
,,2015 - 2016,6,33,5.5,,,,,,
,,2016 - 2017,4,22,5.5,,,,,,
,,2017 - 2018,6,33,5.5,,,,,,
,,2018 - 2019,4,21,5.25,,,,,,
,,2019 - 2020,4,24,6,,,,,,
,,2020 - 2021,4,26,6.5,,,,,,
,,2021 - 2022,4,26,6.5,,,,,,
,,2022 - 2023,5,33,6.6,,,,,,
,29. Sonitpur,2000 - 2001,315,"2,061.00",6.54,,,,,,
,,2001 - 2002,323,"2,116.00",6.55,,,,,,
,,2002 - 2003,275,"1,795.00",6.53,,,,,,
,,2003 - 2004,270,"1,760.00",6.52,,,,,,
,,2004 - 2005,259,"1,696.00",6.55,,,,,,
,,2005 - 2006,263,"1,660.00",6.31,,,,,,
,,2006 - 2007,258,"1,688.00",6.54,,,,,,
,,2007 - 2008,211,"1,758.00",8.33,,,,,,
,,2008 - 2009,205,"1,481.00",7.22,,,,,,
,,2009 - 2010,152,"1,126.00",7.41,,,,,,
,,2010 - 2011,205,"1,575.00",7.68,,,,,,
,,2011 - 2012,199,"1,680.00",8.44,,,,,,
,,2012 - 2013,212,"1,702.00",8.03,,,,,,
,,2013 - 2014,202,"1,684.00",8.34,,,,,,
,,2014 - 2015,193,"1,602.00",8.3,,,,,,
,,2015 - 2016,185,"1,385.00",7.49,,,,,,
,,2016 - 2017,165,"1,245.00",7.55,,,,,,
,,2017 - 2018,165,"1,100.00",6.67,,,,,,
,,2018 - 2019,134,689,5.14,,,,,,
,,2019 - 2020,182,"1,057.00",5.81,,,,,,
,,2020 - 2021,134,778,5.81,,,,,,
,,2021 - 2022,121,958,7.92,,,,,,
,,2022 - 2023,117,926,7.91,,,,,,
,30. South salmara mancachar,2020 - 2021,150,765,5.1,,,,,,
,,2021 - 2022,154,785,5.1,,,,,,
,,2022 - 2023,128,626,4.89,,,,,,
,31. Tinsukia,2000 - 2001,1,5,5,,,,,,
,,2001 - 2002,1,5,5,,,,,,
,,2002 - 2003,2,9,4.5,,,,,,
,,2003 - 2004,2,10,5,,,,,,
,,2004 - 2005,2,10,5,,,,,,
,,2005 - 2006,1,5,5,,,,,,
,,2006 - 2007,1,5,5,,,,,,
,,2007 - 2008,2,10,5,,,,,,
,,2008 - 2009,4,18,4.5,,,,,,
,,2009 - 2010,5,23,4.6,,,,,,
,,2010 - 2011,2,10,5,,,,,,
,,2011 - 2012,1,5,5,,,,,,
,,2012 - 2013,1,9,9,,,,,,
,,2013 - 2014,1,5,5,,,,,,
,,2014 - 2015,1,5,5,,,,,,
,,2015 - 2016,1,5,5,,,,,,
,,2016 - 2017,1,5,5,,,,,,
,,2017 - 2018,1,5,5,,,,,,
,,2018 - 2019,1,5,5,,,,,,
,,2020 - 2021,1,4,4,,,,,,
,,2021 - 2022,1,4,4,,,,,,
,32. Udalguri,2005 - 2006,480,"2,000.00",4.17,,,,,,
,,2006 - 2007,565,"2,354.00",4.17,,,,,,
,,2007 - 2008,571,"2,379.00",4.17,,,,,,
,,2008 - 2009,620,"2,583.00",4.17,,,,,,
,,2009 - 2010,523,"2,179.00",4.17,,,,,,
,,2010 - 2011,628,"2,617.00",4.17,,,,,,
,,2011 - 2012,586,"2,718.00",4.64,,,,,,
,,2012 - 2013,438,"1,908.00",4.36,,,,,,
,,2013 - 2014,410,"1,799.00",4.39,,,,,,
,,2014 - 2015,456,"2,052.00",4.5,,,,,,
,,2015 - 2016,464,"2,036.00",4.39,,,,,,
,,2016 - 2017,152,"1,022.00",6.72,,,,,,
,,2017 - 2018,167,"1,123.00",6.72,,,,,,
,,2018 - 2019,163,"1,096.00",6.72,,,,,,
,,2019 - 2020,163,"1,223.00",7.5,,,,,,
,,2020 - 2021,165,"1,577.00",9.56,,,,,,
,,2021 - 2022,113,"1,011.00",8.95,,,,,,
,,2022 - 2023,108,993,9.19,,,,,,
,33. West karbi anglong,2020 - 2021,48,257,5.35,,,,,,
,,2021 - 2022,45,241,5.36,,,,,,
,,2022 - 2023,43,231,5.37,,,,,,
3. Bihar,1. Araria,2000 - 2001,"4,437.00","56,301.00",12.69,,,,,,
,,2001 - 2002,"2,533.00","18,069.00",7.13,,,,,,
,,2002 - 2003,"3,354.00","15,298.00",4.56,,,,,,
,,2003 - 2004,"2,321.00","15,628.00",6.73,,,,,,
,,2004 - 2005,"2,241.00","17,886.00",7.98,,,,,,
,,2005 - 2006,"3,392.00","42,720.00",12.59,,,,,,
,,2006 - 2007,"3,042.00","22,190.00",7.29,,,,,,
,,2007 - 2008,"2,441.00","19,447.00",7.97,,,,,,
,,2008 - 2009,"2,609.00","19,140.00",7.34,,,,,,
,,2009 - 2010,"2,761.00","12,501.00",4.53,,,,,,
,,2010 - 2011,"2,850.00","16,087.00",5.64,,,,,,
,,2011 - 2012,"2,746.00","14,783.00",5.38,,,,,,
,,2012 - 2013,"2,746.00","1,895.00",0.69,,,,,,
,,2013 - 2014,854,"13,560.00",15.88,,,,,,
,,2014 - 2015,640,"5,479.00",8.56,,,,,,
,,2015 - 2016,637,"6,108.00",9.59,,,,,,
,,2016 - 2017,710,"1,163.00",1.64,,,,,,
,2. Arwal,2004 - 2005,4,32,8,,,,,,
,,2005 - 2006,4,39,9.75,,,,,,
,,2007 - 2008,6,56,9.33,,,,,,
,,2008 - 2009,6,52,8.67,,,,,,
,,2009 - 2010,3,22,7.33,,,,,,
,,2010 - 2011,4,34,8.5,,,,,,
,,2011 - 2012,7,87,12.43,,,,,,
,,2012 - 2013,7,16,2.29,,,,,,
,,2013 - 2014,4,61,15.25,,,,,,
,3. Aurangabad,2000 - 2001,2,15,7.5,,,,,,
,,2005 - 2006,1,10,10,,,,,,
,4. Banka,2002 - 2003,102,613,6.01,,,,,,
,,2005 - 2006,189,"2,452.00",12.97,,,,,,
,,2006 - 2007,186,"1,587.00",8.53,,,,,,
,,2009 - 2010,92,661,7.18,,,,,,
,5. Begusarai,2001 - 2002,13,85,6.54,,,,,,
,,2002 - 2003,16,96,6,,,,,,
,,2004 - 2005,125,997,7.98,,,,,,
,,2006 - 2007,97,828,8.54,,,,,,
,,2007 - 2008,86,796,9.26,,,,,,
,,2009 - 2010,11,79,7.18,,,,,,
,,2010 - 2011,21,177,8.43,,,,,,
,,2011 - 2012,21,260,12.38,,,,,,
,,2012 - 2013,11,26,2.36,,,,,,
,,2013 - 2014,21,320,15.24,,,,,,
,,2014 - 2015,9,120,13.33,,,,,,
,,2016 - 2017,13,31,2.38,,,,,,
,,2021 - 2022,3,33.33,11.11,,,,,,
,6. Bhagalpur,2000 - 2001,66,509,7.71,,,,,,
,,2001 - 2002,199,"1,294.00",6.5,,,,,,
,,2003 - 2004,32,222,6.94,,,,,,
,,2004 - 2005,29,231,7.97,,,,,,
,,2006 - 2007,19,162,8.53,,,,,,
,,2007 - 2008,29,269,9.28,,,,,,
,,2008 - 2009,825,"7,173.00",8.69,,,,,,
,,2009 - 2010,402,"2,888.00",7.18,,,,,,
,,2011 - 2012,316,"3,908.00",12.37,,,,,,
,,2012 - 2013,262,776,2.96,,,,,,
,,2013 - 2014,141,"3,518.00",24.95,,,,,,
,,2014 - 2015,107,"1,593.00",14.89,,,,,,
,,2015 - 2016,42,820,19.52,,,,,,
,,2016 - 2017,42,99,2.36,,,,,,
,,2017 - 2018,44,65,1.48,,,,,,
,,2018 - 2019,42,81,1.93,,,,,,
,,2019 - 2020,42,86,2.05,,,,,,
,,2020 - 2021,36,472.22,13.12,,,,,,
,,2021 - 2022,36,394.44,10.96,,,,,,
,,2022 - 2023,35,416.67,11.9,,,,,,
,7. Bhojpur,2004 - 2005,5,40,8,,,,,,
,,2005 - 2006,11,108,9.82,,,,,,
,,2006 - 2007,10,85,8.5,,,,,,
,,2007 - 2008,16,148,9.25,,,,,,
,,2008 - 2009,16,139,8.69,,,,,,
,,2009 - 2010,17,122,7.18,,,,,,
,,2010 - 2011,17,143,8.41,,,,,,
,,2011 - 2012,17,210,12.35,,,,,,
,8. Darbhanga,2000 - 2001,18,78,4.33,,,,,,
,,2001 - 2002,16,104,6.5,,,,,,
,,2005 - 2006,51,256,5.02,,,,,,
,9. Gaya,2003 - 2004,12,83,6.92,,,,,,
,,2004 - 2005,1,8,8,,,,,,
,,2005 - 2006,9,89,9.89,,,,,,
,,2007 - 2008,7,65,9.29,,,,,,
,,2008 - 2009,6,52,8.67,,,,,,
,,2009 - 2010,3,22,7.33,,,,,,
,,2011 - 2012,1,12,12,,,,,,
,,2012 - 2013,1,2,2,,,,,,
,10. Gopalganj,2000 - 2001,144,"1,111.00",7.72,,,,,,
,,2001 - 2002,25,162,6.48,,,,,,
,,2002 - 2003,139,835,6.01,,,,,,
,,2003 - 2004,9,62,6.89,,,,,,
,,2004 - 2005,19,152,8,,,,,,
,,2005 - 2006,12,118,9.83,,,,,,
,,2006 - 2007,13,111,8.54,,,,,,
,,2007 - 2008,11,102,9.27,,,,,,
,,2008 - 2009,11,96,8.73,,,,,,
,,2009 - 2010,12,86,7.17,,,,,,
,,2010 - 2011,12,101,8.42,,,,,,
,11. Jamui,2002 - 2003,30,180,6,,,,,,
,,2003 - 2004,76,527,6.93,,,,,,
,,2004 - 2005,67,535,7.99,,,,,,
,12. Jehanabad,2006 - 2007,4,34,8.5,,,,,,
,,2007 - 2008,2,19,9.5,,,,,,
,,2010 - 2011,1,8,8,,,,,,
,,2014 - 2015,2,27,13.5,,,,,,
,,2015 - 2016,15,293,19.53,,,,,,
,13. Katihar,2000 - 2001,"1,602.00","8,633.00",5.39,,,,,,
,,2001 - 2002,"1,400.00","9,504.00",6.79,,,,,,
,,2002 - 2003,"1,466.00","6,149.00",4.19,,,,,,
,,2003 - 2004,"3,457.00","20,915.00",6.05,,,,,,
,,2004 - 2005,"1,704.00","12,269.00",7.2,,,,,,
,,2006 - 2007,"2,834.00","26,592.00",9.38,,,,,,
,,2007 - 2008,"2,884.00","22,159.00",7.68,,,,,,
,,2008 - 2009,"2,910.00","25,592.00",8.79,,,,,,
,,2009 - 2010,"2,889.00","26,563.00",9.19,,,,,,
,,2010 - 2011,"2,912.00","24,752.00",8.5,,,,,,
,,2011 - 2012,"2,102.00","35,816.00",17.04,,,,,,
,,2012 - 2013,"2,087.00","5,664.00",2.71,,,,,,
,,2013 - 2014,"2,069.00","31,035.00",15,,,,,,
,,2014 - 2015,"2,059.00","23,804.00",11.56,,,,,,
,,2015 - 2016,"2,141.00","35,065.00",16.38,,,,,,
,,2016 - 2017,"2,097.00","4,211.00",2.01,,,,,,
,,2017 - 2018,"1,636.00","1,842.00",1.13,,,,,,
,,2018 - 2019,994,"2,444.00",2.46,,,,,,
,,2019 - 2020,764,"3,350.00",4.38,,,,,,
,,2020 - 2021,596,"11,988.89",20.12,,,,,,
,,2021 - 2022,687,"8,955.56",13.04,,,,,,
,,2022 - 2023,584,"6,555.56",11.23,,,,,,
,14. Khagaria,2000 - 2001,49,378,7.71,,,,,,
,,2005 - 2006,21,207,9.86,,,,,,
,,2010 - 2011,370,"3,122.00",8.44,,,,,,
,,2012 - 2013,3,7,2.33,,,,,,
,,2013 - 2014,3,46,15.33,,,,,,
,,2014 - 2015,3,40,13.33,,,,,,
,,2015 - 2016,4,78,19.5,,,,,,
,,2019 - 2020,5,10,2,,,,,,
,,2020 - 2021,5,66.67,13.33,,,,,,
,,2021 - 2022,12,133.33,11.11,,,,,,
,,2022 - 2023,12,144.44,12.04,,,,,,
,15. Kishanganj,2000 - 2001,"1,204.00","8,603.00",7.15,,,,,,
,,2001 - 2002,"1,566.00","9,587.00",6.12,,,,,,
,,2002 - 2003,"1,601.00","9,161.00",5.72,,,,,,
,,2003 - 2004,"2,362.00","14,526.00",6.15,,,,,,
,,2004 - 2005,"2,265.00","15,352.00",6.78,,,,,,
,,2005 - 2006,"2,663.00","20,683.00",7.77,,,,,,
,,2006 - 2007,"2,037.00","13,569.00",6.66,,,,,,
,,2007 - 2008,"1,930.00","12,577.00",6.52,,,,,,
,,2008 - 2009,"1,927.00","12,504.00",6.49,,,,,,
,,2009 - 2010,"1,808.00","10,798.00",5.97,,,,,,
,,2010 - 2011,"1,761.00","8,815.00",5.01,,,,,,
,,2011 - 2012,"1,637.00","14,169.00",8.66,,,,,,
,,2012 - 2013,"1,534.00","3,019.00",1.97,,,,,,
,,2013 - 2014,"1,398.00","22,197.00",15.88,,,,,,
,,2014 - 2015,"1,386.00","13,560.00",9.78,,,,,,
,,2015 - 2016,"1,452.00","21,328.00",14.69,,,,,,
,,2016 - 2017,"1,462.00","3,770.00",2.58,,,,,,
,,2017 - 2018,"1,471.00","3,132.00",2.13,,,,,,
,,2018 - 2019,"1,483.00","3,185.00",2.15,,,,,,
,,2019 - 2020,"1,603.00","4,697.00",2.93,,,,,,
,,2020 - 2021,"1,692.00","18,961.11",11.21,,,,,,
,,2021 - 2022,"1,528.00","16,400.00",10.73,,,,,,
,,2022 - 2023,"1,381.00","15,305.56",11.08,,,,,,
,16. Lakhisarai,2005 - 2006,39,384,9.85,,,,,,
,17. Madhepura,2000 - 2001,"1,110.00","10,237.00",9.22,,,,,,
,,2001 - 2002,"1,591.00","10,342.00",6.5,,,,,,
,,2002 - 2003,"2,885.00","23,577.00",8.17,,,,,,
,,2003 - 2004,"2,427.00","25,403.00",10.47,,,,,,
,,2004 - 2005,"2,063.00","16,458.00",7.98,,,,,,
,,2005 - 2006,695,"4,622.00",6.65,,,,,,
,,2006 - 2007,"2,049.00","18,976.00",9.26,,,,,,
,,2007 - 2008,"2,312.00","31,713.00",13.72,,,,,,
,,2008 - 2009,"2,152.00","24,509.00",11.39,,,,,,
,,2009 - 2010,"1,809.00","9,115.00",5.04,,,,,,
,,2010 - 2011,"2,105.00","10,619.00",5.04,,,,,,
,,2011 - 2012,"1,920.00","13,867.00",7.22,,,,,,
,,2012 - 2013,"2,131.00","3,094.00",1.45,,,,,,
,,2013 - 2014,"4,153.00","61,626.00",14.84,,,,,,
,,2014 - 2015,"5,707.00","78,661.00",13.78,,,,,,
,,2015 - 2016,"5,382.00","1,22,470.00",22.76,,,,,,
,,2016 - 2017,"5,800.00","13,038.00",2.25,,,,,,
,,2017 - 2018,"5,384.00","12,674.00",2.35,,,,,,
,,2018 - 2019,"2,125.00","7,948.00",3.74,,,,,,
,,2019 - 2020,"2,128.00","4,460.00",2.1,,,,,,
,,2020 - 2021,"2,488.00","41,050.00",16.5,,,,,,
,,2021 - 2022,"2,312.00","25,755.56",11.14,,,,,,
,,2022 - 2023,"2,917.00","32,572.22",11.17,,,,,,
,18. Madhubani,2000 - 2001,50,216,4.32,,,,,,
,,2001 - 2002,32,208,6.5,,,,,,
,,2002 - 2003,114,750,6.58,,,,,,
,,2003 - 2004,55,293,5.33,,,,,,
,,2004 - 2005,48,383,7.98,,,,,,
,,2005 - 2006,695,"3,494.00",5.03,,,,,,
,,2006 - 2007,26,111,4.27,,,,,,
,,2007 - 2008,27,74,2.74,,,,,,
,,2008 - 2009,25,145,5.8,,,,,,
,,2009 - 2010,22,172,7.82,,,,,,
,,2010 - 2011,11,93,8.45,,,,,,
,,2011 - 2012,5,62,12.4,,,,,,
,,2014 - 2015,32,427,13.34,,,,,,
,,2016 - 2017,10,24,2.4,,,,,,
,,2017 - 2018,10,15,1.5,,,,,,
,,2018 - 2019,10,19,1.9,,,,,,
,,2019 - 2020,9,30,3.33,,,,,,
,,2021 - 2022,12,133.33,11.11,,,,,,
,19. Muzaffarpur,2000 - 2001,220,"1,165.00",5.3,,,,,,
,,2001 - 2002,178,581,3.26,,,,,,
,,2002 - 2003,153,717,4.69,,,,,,
,,2003 - 2004,153,683,4.46,,,,,,
,,2004 - 2005,136,"1,085.00",7.98,,,,,,
,,2005 - 2006,125,738,5.9,,,,,,
,,2006 - 2007,113,706,6.25,,,,,,
,,2007 - 2008,128,822,6.42,,,,,,
,,2008 - 2009,314,"2,079.00",6.62,,,,,,
,,2009 - 2010,168,"1,188.00",7.07,,,,,,
,,2010 - 2011,124,"2,131.00",17.19,,,,,,
,,2011 - 2012,124,"1,533.00",12.36,,,,,,
,,2012 - 2013,119,402,3.38,,,,,,
,,2013 - 2014,44,290,6.59,,,,,,
,,2014 - 2015,16,207,12.94,,,,,,
,,2015 - 2016,272,"3,806.00",13.99,,,,,,
,20. Nalanda,2007 - 2008,1,9,9,,,,,,
,21. Nawada,2003 - 2004,6,42,7,,,,,,
,,2013 - 2014,2,31,15.5,,,,,,
,,2014 - 2015,7,93,13.29,,,,,,
,,2015 - 2016,13,182,14,,,,,,
,,2016 - 2017,9,21,2.33,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,
,,2018 - 2019,2,4,2,,,,,,
,22. Pashchim champaran,2002 - 2003,94,440,4.68,,,,,,
,,2009 - 2010,7,50,7.14,,,,,,
,,2010 - 2011,7,120,17.14,,,,,,
,,2013 - 2014,14,92,6.57,,,,,,
,,2014 - 2015,12,155,12.92,,,,,,
,,2015 - 2016,32,625,19.53,,,,,,
,,2016 - 2017,9,21,2.33,,,,,,
,23. Patna,2019 - 2020,19,39,2.05,,,,,,
,24. Purbi champaran,2001 - 2002,6,20,3.33,,,,,,
,,2002 - 2003,12,56,4.67,,,,,,
,,2003 - 2004,10,45,4.5,,,,,,
,,2004 - 2005,9,72,8,,,,,,
,,2005 - 2006,9,53,5.89,,,,,,
,,2006 - 2007,9,56,6.22,,,,,,
,,2007 - 2008,9,58,6.44,,,,,,
,,2008 - 2009,9,60,6.67,,,,,,
,,2009 - 2010,4,28,7,,,,,,
,,2010 - 2011,7,120,17.14,,,,,,
,,2011 - 2012,2,25,12.5,,,,,,
,,2012 - 2013,1,3,3,,,,,,
,25. Purnia,2000 - 2001,"14,794.00","98,216.00",6.64,,,,,,
,,2001 - 2002,"3,724.00","25,468.00",6.84,,,,,,
,,2002 - 2003,"4,942.00","29,460.00",5.96,,,,,,
,,2003 - 2004,"4,254.00","29,164.00",6.86,,,,,,
,,2004 - 2005,"3,348.00","30,746.00",9.18,,,,,,
,,2005 - 2006,"2,114.00","14,281.00",6.76,,,,,,
,,2006 - 2007,"3,314.00","21,872.00",6.6,,,,,,
,,2007 - 2008,"2,564.00","18,959.00",7.39,,,,,,
,,2008 - 2009,"2,275.00","17,480.00",7.68,,,,,,
,,2009 - 2010,"3,001.00","22,041.00",7.34,,,,,,
,,2010 - 2011,"3,053.00","21,490.00",7.04,,,,,,
,,2011 - 2012,"3,011.00","45,165.00",15,,,,,,
,,2012 - 2013,841,"2,355.00",2.8,,,,,,
,,2013 - 2014,"2,881.00","47,569.00",16.51,,,,,,
,,2014 - 2015,"1,501.00","27,226.00",18.14,,,,,,
,,2015 - 2016,"1,852.00","27,368.00",14.78,,,,,,
,,2016 - 2017,"1,716.00","6,293.00",3.67,,,,,,
,,2017 - 2018,"1,503.00","2,406.00",1.6,,,,,,
,,2018 - 2019,193,439,2.27,,,,,,
,,2019 - 2020,2,6,3,,,,,,
,26. Rohtas,2001 - 2002,6,39,6.5,,,,,,
,,2002 - 2003,2,12,6,,,,,,
,,2003 - 2004,5,35,7,,,,,,
,,2010 - 2011,2,17,8.5,,,,,,
,,2012 - 2013,3,7,2.33,,,,,,
,27. Saharsa,2000 - 2001,100,831,8.31,,,,,,
,,2001 - 2002,117,761,6.5,,,,,,
,,2002 - 2003,160,"1,182.00",7.39,,,,,,
,,2003 - 2004,233,"1,951.00",8.37,,,,,,
,,2004 - 2005,210,"1,675.00",7.98,,,,,,
,,2005 - 2006,"1,709.00","29,926.00",17.51,,,,,,
,,2006 - 2007,131,"1,507.00",11.5,,,,,,
,,2007 - 2008,98,"1,120.00",11.43,,,,,,
,,2008 - 2009,33,352,10.67,,,,,,
,,2009 - 2010,186,"1,452.00",7.81,,,,,,
,,2010 - 2011,365,"3,934.00",10.78,,,,,,
,,2011 - 2012,80,"1,053.00",13.16,,,,,,
,,2014 - 2015,82,"1,133.00",13.82,,,,,,
,,2015 - 2016,33,751,22.76,,,,,,
,,2016 - 2017,30,67,2.23,,,,,,
,,2017 - 2018,18,26,1.44,,,,,,
,,2018 - 2019,17,31,1.82,,,,,,
,,2019 - 2020,16,27,1.69,,,,,,
,,2020 - 2021,16,211.11,13.19,,,,,,
,,2021 - 2022,17,188.89,11.11,,,,,,
,,2022 - 2023,19,227.78,11.99,,,,,,
,28. Samastipur,2000 - 2001,"1,028.00","4,432.00",4.31,,,,,,
,,2001 - 2002,872,"5,668.00",6.5,,,,,,
,,2002 - 2003,846,"5,565.00",6.58,,,,,,
,,2003 - 2004,788,"4,203.00",5.33,,,,,,
,,2004 - 2005,742,"5,920.00",7.98,,,,,,
,,2005 - 2006,112,"1,103.00",9.85,,,,,,
,,2006 - 2007,628,"2,676.00",4.26,,,,,,
,,2007 - 2008,575,"1,134.00",1.97,,,,,,
