State,District,Year,Mesta,,,,,,,,
,,2002 - 2003,6,16,2.67,,,,,,
,,2006 - 2007,,,,,,,59,79,1.34
,,2007 - 2008,,,,,,,51,68,1.33
,,2009 - 2010,,,,,,,1,1,1
,,2010 - 2011,,,,,,,1,1,1
,,2011 - 2012,,,,,,,5,6,1.2
,,2020 - 2021,,,,,,,1,0,0
,11. Gadag,2018 - 2019,,,,,,,2,3,1.5
,,2020 - 2021,,,,,,,1,0,0
,12. Gulbarga,2000 - 2001,"3,081.00","5,700.00",1.85,,,,,,
,,2001 - 2002,"2,207.00","4,083.00",1.85,,,,,,
,,2002 - 2003,"1,712.00","3,136.00",1.83,,,,,,
,,2003 - 2004,"2,647.00","4,848.00",1.83,,,,,,
,,2004 - 2005,"1,622.00","2,971.00",1.83,,,,,,
,,2005 - 2006,,,,,,,918,"1,681.00",1.83
,,2006 - 2007,,,,,,,"1,015.00","1,859.00",1.83
,,2007 - 2008,,,,,,,902,"1,652.00",1.83
,,2008 - 2009,,,,,,,542,993,1.83
,,2009 - 2010,,,,,,,286,322,1.13
,,2010 - 2011,,,,,,,370,397,1.07
,,2011 - 2012,,,,,,,312,434,1.39
,,2012 - 2013,,,,,,,168,234,1.39
,,2013 - 2014,,,,,,,140,156,1.11
,,2015 - 2016,,,,,,,721,964,1.34
,,2016 - 2017,,,,,,,71,68,0.96
,,2017 - 2018,,,,,,,9,,0
,,2018 - 2019,,,,,,,21,30,1.43
,,2019 - 2020,,,,,,,12,,0
,,2020 - 2021,,,,,,,14,0,0
,,2022 - 2023,,,,,,,20,0,0
,13. Hassan,2019 - 2020,,,,,,,2,,0
,,2022 - 2023,,,,,,,1,0,0
,14. Haveri,2001 - 2002,1,3,3,,,,,,
,,2002 - 2003,1,3,3,,,,,,
,,2006 - 2007,,,,,,,8,11,1.38
,15. Koppal,2005 - 2006,,,,,,,40,51,1.28
,,2018 - 2019,,,,,,,9,13,1.44
,,2019 - 2020,,,,,,,3,,0
,,2020 - 2021,,,,,,,10,0,0
,,2022 - 2023,,,,,,,7,0,0
,16. Mandya,2018 - 2019,,,,,,,2,3,1.5
,,2019 - 2020,,,,,,,15,,0
,,2020 - 2021,,,,,,,8,0,0
,17. Mysore,2014 - 2015,,,,,,,48,54,1.13
,18. Raichur,2018 - 2019,,,,,,,1,1,1
,,2019 - 2020,,,,,,,3,,0
,,2020 - 2021,,,,,,,2,0,0
,19. Shimoga,2000 - 2001,2,2,1,,,,,,
,20. Uttar kannad,2000 - 2001,3,7,2.33,,,,,,
,,2001 - 2002,3,7,2.33,,,,,,
,,2002 - 2003,1,2,2,,,,,,
,,2003 - 2004,1,2,2,,,,,,
,,2004 - 2005,1,2,2,,,,,,
,21. Yadgir,2010 - 2011,,,,,,,6,8,1.33
,,2011 - 2012,,,,,,,5,6,1.2
,,2012 - 2013,,,,,,,4,5,1.25
,,2022 - 2023,,,,,,,2,0,0
6. Madhya Pradesh,1. Alirajpur,2009 - 2010,,,,,,,38,13,0.34
,,2010 - 2011,,,,,,,19,37,1.95
,,2011 - 2012,27,33,1.22,,,,,,
,,2012 - 2013,25,6,0.24,,,,,,
,,2013 - 2014,21,32,1.52,,,,,,
,,2018 - 2019,1,0.18,0.18,,,,,,
,,2019 - 2020,6,2,0.33,,,,,,
,2. Anuppur,2006 - 2007,3,7,2.33,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,3. Ashoknagar,2019 - 2020,4,1,0.25,,,,,,
,4. Balaghat,2006 - 2007,118,391,3.31,,,,,,
,,2009 - 2010,,,,,,,89,49,0.55
,,2010 - 2011,,,,,,,88,272,3.09
,,2011 - 2012,94,260,2.77,,,,,,
,,2012 - 2013,81,43,0.53,,,,,,
,,2013 - 2014,75,229,3.05,,,,,,
,,2016 - 2017,70,53,0.76,,,,,,
,5. Barwani,2006 - 2007,35,48,1.37,,,,,,
,,2009 - 2010,,,,,,,51,11,0.22
,,2010 - 2011,,,,,,,15,21,1.4
,,2011 - 2012,35,40,1.14,,,,,,
,,2012 - 2013,38,14,0.37,,,,,,
,,2013 - 2014,17,29,1.71,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,
,6. Betul,2016 - 2017,120,80,0.67,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,
,7. Bhind,2019 - 2020,249,53,0.21,,,,,,
,8. Burhanpur,2018 - 2019,5,1.26,0.25,,,,,,
,,2019 - 2020,48,23,0.48,,,,,,
,9. Chhatarpur,2006 - 2007,2,3,1.5,,,,,,
,,2016 - 2017,10,,0,,,,,,
,,2018 - 2019,2,0.9,0.45,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,10. Chhindwara,2006 - 2007,12,34,2.83,,,,,,
,,2016 - 2017,90,60,0.67,,,,,,
,,2017 - 2018,"1,010.00","1,210.00",1.2,,,,,,
,,2019 - 2020,39,20,0.51,,,,,,
,11. Damoh,2016 - 2017,350,260,0.74,,,,,,
,12. Datia,2006 - 2007,2,3,1.5,,,,,,
,,2009 - 2010,,,,,,,273,63,0.23
,,2012 - 2013,15,5,0.33,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,13. Dewas,2006 - 2007,2,3,1.5,,,,,,
,,2009 - 2010,,,,,,,27,11,0.41
,,2010 - 2011,,,,,,,24,56,2.33
,,2011 - 2012,27,46,1.7,,,,,,
,,2012 - 2013,27,9,0.33,,,,,,
,,2013 - 2014,27,46,1.7,,,,,,
,14. Dhar,2018 - 2019,2,1.08,0.54,,,,,,
,,2019 - 2020,6,3,0.5,,,,,,
,15. Dindori,2019 - 2020,3,1,0.33,,,,,,
,16. Gwalior,2019 - 2020,1,,0,,,,,,
,17. Harda,2016 - 2017,150,120,0.8,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,
,18. Hoshangabad,2017 - 2018,590,530,0.9,,,,,,
,,2019 - 2020,14,4,0.29,,,,,,
,19. Indore,2018 - 2019,17,5.93,0.35,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,20. Jabalpur,2003 - 2004,"4,100.00","9,500.00",2.32,,,,,,
,,2016 - 2017,100,71,0.71,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,21. Jhabua,2006 - 2007,6,10,1.67,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,22. Katni,2003 - 2004,600,"1,100.00",1.83,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2016 - 2017,60,40,0.67,,,,,,
,23. Khandwa,2006 - 2007,8,18,2.25,,,,,,
,,2009 - 2010,,,,,,,1,,0
,,2012 - 2013,3,1,0.33,,,,,,
,,2013 - 2014,4,6,1.5,,,,,,
,,2019 - 2020,66,16,0.24,,,,,,
,24. Khargone,2006 - 2007,54,121,2.24,,,,,,
,,2009 - 2010,,,,,,,66,24,0.36
,,2010 - 2011,,,,,,,66,170,2.58
,,2011 - 2012,45,81,1.8,,,,,,
,,2012 - 2013,14,5,0.36,,,,,,
,,2013 - 2014,42,81,1.93,,,,,,
,,2018 - 2019,1,0.36,0.36,,,,,,
,25. Mandla,2016 - 2017,20,15,0.75,,,,,,
,,2019 - 2020,91,42,0.46,,,,,,
,26. Mandsaur,2019 - 2020,1,1,1,,,,,,
,27. Morena,2019 - 2020,6,1,0.17,,,,,,
,28. Narsinghpur,2016 - 2017,260,190,0.73,,,,,,
,,2019 - 2020,6,5,0.83,,,,,,
,29. Neemuch,2019 - 2020,2,1,0.5,,,,,,
,30. Panna,2006 - 2007,28,31,1.11,,,,,,
,,2009 - 2010,,,,,,,14,4,0.29
,,2010 - 2011,,,,,,,9,13,1.44
,,2011 - 2012,30,23,0.77,,,,,,
,,2012 - 2013,23,5,0.22,,,,,,
,,2013 - 2014,48,57,1.19,,,,,,
,,2016 - 2017,120,90,0.75,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,31. Raisen,2006 - 2007,24,43,1.79,,,,,,
,,2009 - 2010,,,,,,,1,,0
,,2019 - 2020,1,,0,,,,,,
,32. Rajgarh,2016 - 2017,150,110,0.73,,,,,,
,,2019 - 2020,1,,0,,,,,,
,33. Rewa,2006 - 2007,129,280,2.17,,,,,,
,,2009 - 2010,,,,,,,107,36,0.34
,,2010 - 2011,,,,,,,60,132,2.2
,,2011 - 2012,68,101,1.49,,,,,,
,,2012 - 2013,56,16,0.29,,,,,,
,,2013 - 2014,42,115,2.74,,,,,,
,,2016 - 2017,20,10,0.5,,,,,,
,,2017 - 2018,400,460,1.15,,,,,,
,,2019 - 2020,7,3,0.43,,,,,,
,34. Sagar,2016 - 2017,20,10,0.5,,,,,,
,,2019 - 2020,7,4,0.57,,,,,,
,35. Satna,2006 - 2007,16,25,1.56,,,,,,
,,2012 - 2013,1,,0,,,,,,
,,2013 - 2014,4,6,1.5,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,36. Sehore,2016 - 2017,110,80,0.73,,,,,,
,37. Seoni,2006 - 2007,13,35,2.69,,,,,,
,,2009 - 2010,,,,,,,10,5,0.5
,,2010 - 2011,,,,,,,9,24,2.67
,,2011 - 2012,8,18,2.25,,,,,,
,,2012 - 2013,8,5,0.63,,,,,,
,,2013 - 2014,7,27,3.86,,,,,,
,,2019 - 2020,9,4,0.44,,,,,,
,38. Shahdol,2006 - 2007,14,33,2.36,,,,,,
,,2009 - 2010,,,,,,,42,18,0.43
,,2010 - 2011,,,,,,,41,97,2.37
,,2011 - 2012,55,80,1.45,,,,,,
,,2012 - 2013,12,4,0.33,,,,,,
,,2013 - 2014,11,25,2.27,,,,,,
,39. Sheopur,2019 - 2020,3,1,0.33,,,,,,
,40. Shivpuri,2019 - 2020,1,,0,,,,,,
,41. Sidhi,2006 - 2007,29,57,1.97,,,,,,
,,2009 - 2010,,,,,,,3,1,0.33
,,2010 - 2011,,,,,,,1,2,2
,,2011 - 2012,3,3,1,,,,,,
,,2012 - 2013,4,2,0.5,,,,,,
,,2013 - 2014,1,3,3,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,42. Singrauli,2009 - 2010,,,,,,,1,,0
,,2018 - 2019,1,0.36,0.36,,,,,,
,,2019 - 2020,193,114,0.59,,,,,,
,43. Tikamgarh,2006 - 2007,27,43,1.59,,,,,,
,,2009 - 2010,,,,,,,8,2,0.25
,,2010 - 2011,,,,,,,2,3,1.5
,,2011 - 2012,2,2,1,,,,,,
,44. Ujjain,2010 - 2011,,,,,,,36,87,2.42
,45. Vidisha,2016 - 2017,350,250,0.71,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
7. Meghalaya,1. East garo hills,2000 - 2001,260,"1,194.00",4.59,,,,,,
,,2001 - 2002,256,"1,178.00",4.6,,,,,,
,,2002 - 2003,224,"1,121.00",5,,,,,,
,,2003 - 2004,200,919,4.6,,,,,,
,,2004 - 2005,163,745,4.57,,,,,,
,,2005 - 2006,144,658,4.57,,,,,,
,,2006 - 2007,140,642,4.59,,,,,,
,,2007 - 2008,135,630,4.67,,,,,,
,,2008 - 2009,70,320,4.57,,,,,,
,,2009 - 2010,67,306,4.57,,,,,,
,,2010 - 2011,62,283,4.56,,,,,,
,,2011 - 2012,63,289,4.59,,,,,,
,,2012 - 2013,69,433,6.28,,,,,,
,,2013 - 2014,19,117,6.16,,,,,,
,,2014 - 2015,19,118,6.21,,,,,,
,,2015 - 2016,16,98,6.13,,,,,,
,,2016 - 2017,15,102,6.8,,,,,,
,,2017 - 2018,15,102,6.8,,,,,,
,,2018 - 2019,16,109,6.81,,,,,,
,,2019 - 2020,17,116,6.82,,,,,,
,,2020 - 2021,18,123,6.83,,,,,,
,,2021 - 2022,18,123,6.83,,,,,,
,,2022 - 2023,17,102,6,,,,,,
,2. North garo hills,2013 - 2014,51,324,6.35,,,,,,
,,2014 - 2015,52,334,6.42,,,,,,
,,2015 - 2016,47,312,6.64,,,,,,
,,2016 - 2017,46,318,6.91,,,,,,
,,2017 - 2018,48,332,6.92,,,,,,
,,2018 - 2019,49,339,6.92,,,,,,
,,2019 - 2020,50,347,6.94,,,,,,
,,2020 - 2021,51,355,6.96,,,,,,
,,2021 - 2022,51,355,6.96,,,,,,
,,2022 - 2023,38,170,4.47,,,,,,
,3. South garo hills,2000 - 2001,"1,013.00","4,680.00",4.62,,,,,,
,,2001 - 2002,998,"4,581.00",4.59,,,,,,
,,2002 - 2003,993,"4,556.00",4.59,,,,,,
,,2003 - 2004,"1,003.00","4,608.00",4.59,,,,,,
,,2004 - 2005,732,"3,318.00",4.53,,,,,,
,,2005 - 2006,989,"4,505.00",4.56,,,,,,
,,2006 - 2007,982,"4,473.00",4.55,,,,,,
,,2007 - 2008,972,"4,428.00",4.56,,,,,,
,,2008 - 2009,818,"3,726.00",4.56,,,,,,
,,2009 - 2010,816,"3,722.00",4.56,,,,,,
,,2010 - 2011,812,"3,695.00",4.55,,,,,,
,,2011 - 2012,813,"3,740.00",4.6,,,,,,
,,2012 - 2013,875,"5,216.00",5.96,,,,,,
,,2013 - 2014,883,"5,287.00",5.99,,,,,,
,,2014 - 2015,887,"5,308.00",5.98,,,,,,
,,2015 - 2016,884,"5,282.00",5.98,,,,,,
,,2016 - 2017,883,"5,286.00",5.99,,,,,,
,,2017 - 2018,885,"5,301.00",5.99,,,,,,
,,2018 - 2019,886,"5,311.00",5.99,,,,,,
,,2019 - 2020,887,"5,326.00",6,,,,,,
,,2020 - 2021,887,"5,326.00",6,,,,,,
,,2021 - 2022,887,"5,326.00",6,,,,,,
,,2022 - 2023,820,"4,726.00",5.76,,,,,,
,4. South west garo hills,2013 - 2014,"1,299.00","7,785.00",5.99,,,,,,
,,2014 - 2015,"1,311.00","7,905.00",6.03,,,,,,
,,2015 - 2016,"1,306.00","7,883.00",6.04,,,,,,
,,2016 - 2017,"1,305.00","7,885.00",6.04,,,,,,
,,2017 - 2018,"1,305.00","7,890.00",6.05,,,,,,
,,2018 - 2019,"1,306.00","7,901.00",6.05,,,,,,
,,2019 - 2020,"1,307.00","7,911.00",6.05,,,,,,
,,2020 - 2021,"1,307.00","7,911.00",6.05,,,,,,
,,2021 - 2022,"1,307.00","7,911.00",6.05,,,,,,
,,2022 - 2023,"1,307.00","7,911.00",6.05,,,,,,
,5. West garo hills,2000 - 2001,"3,362.00","15,484.00",4.61,,,,,,
,,2001 - 2002,"3,296.00","18,767.00",5.69,,,,,,
,,2002 - 2003,"3,296.00","14,922.00",4.53,,,,,,
,,2003 - 2004,"3,299.00","14,932.00",4.53,,,,,,
,,2004 - 2005,"3,300.00","14,955.00",4.53,,,,,,
,,2005 - 2006,"3,303.00","15,049.00",4.56,,,,,,
,,2006 - 2007,"3,303.00","15,063.00",4.56,,,,,,
,,2007 - 2008,"3,288.00","14,979.00",4.56,,,,,,
,,2008 - 2009,"3,288.00","15,000.00",4.56,,,,,,
,,2009 - 2010,"3,271.00","14,363.00",4.39,,,,,,
,,2010 - 2011,"3,248.00","14,253.00",4.39,,,,,,
,,2011 - 2012,"3,249.00","14,404.00",4.43,,,,,,
,,2012 - 2013,"3,491.00","20,222.00",5.79,,,,,,
,,2013 - 2014,"2,223.00","12,715.00",5.72,,,,,,
,,2014 - 2015,"2,227.00","12,719.00",5.71,,,,,,
,,2015 - 2016,"2,216.00","12,688.00",5.73,,,,,,
,,2016 - 2017,"2,215.00","12,710.00",5.74,,,,,,
,,2017 - 2018,"2,217.00","12,728.00",5.74,,,,,,
,,2018 - 2019,"2,218.00","12,741.00",5.74,,,,,,
,,2019 - 2020,"2,219.00","12,755.00",5.75,,,,,,
,,2020 - 2021,"2,219.00","12,755.00",5.75,,,,,,
,,2021 - 2022,"2,219.00","12,755.00",5.75,,,,,,
,,2022 - 2023,"2,219.00","12,755.00",5.75,,,,,,
8. Nagaland,1. Chumoukedima,2022 - 2023,85,104,1.22,,,,,,
,2. Dimapur,2009 - 2010,290,300,1.03,,,,,,
,,2010 - 2011,250,470,1.88,,,,,,
,,2011 - 2012,260,520,2,,,,,,
,,2012 - 2013,270,300,1.11,,,,,,
,,2013 - 2014,270,310,1.15,,,,,,
,,2014 - 2015,270,310,1.15,,,,,,
,,2015 - 2016,270,310,1.15,,,,,,
,,2016 - 2017,270,300,1.11,,,,,,
,,2017 - 2018,270,300,1.11,,,,,,
,,2018 - 2019,270,300,1.11,,,,,,
,,2019 - 2020,274,304,1.11,,,,,,
,,2020 - 2021,274,305,1.11,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,35,43,1.23,,,,,,
,3. Kiphire,2009 - 2010,80,70,0.88,,,,,,
,,2010 - 2011,40,80,2,,,,,,
,,2011 - 2012,40,70,1.75,,,,,,
,,2012 - 2013,60,70,1.17,,,,,,
,,2013 - 2014,60,70,1.17,,,,,,
,,2014 - 2015,60,70,1.17,,,,,,
,,2015 - 2016,60,70,1.17,,,,,,
,,2016 - 2017,60,60,1,,,,,,
,,2017 - 2018,60,60,1,,,,,,
,,2018 - 2019,70,70,1,,,,,,
,,2019 - 2020,71,73,1.03,,,,,,
,,2020 - 2021,71,75,1.06,,,,,,
,,2022 - 2023,50,62,1.24,,,,,,
,4. Kohima,2009 - 2010,110,100,0.91,,,,,,
,,2010 - 2011,70,130,1.86,,,,,,
,,2011 - 2012,70,130,1.86,,,,,,
,,2012 - 2013,110,120,1.09,,,,,,
,,2013 - 2014,110,120,1.09,,,,,,
,,2014 - 2015,110,120,1.09,,,,,,
,,2015 - 2016,110,120,1.09,,,,,,
,,2016 - 2017,110,120,1.09,,,,,,
,,2017 - 2018,110,120,1.09,,,,,,
,,2018 - 2019,120,130,1.08,,,,,,
,,2019 - 2020,122,135,1.11,,,,,,
,,2020 - 2021,122,136,1.11,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,36,44,1.22,,,,,,
,5. Longleng,2009 - 2010,100,80,0.8,,,,,,
,,2010 - 2011,60,110,1.83,,,,,,
,,2011 - 2012,60,100,1.67,,,,,,
,,2012 - 2013,80,80,1,,,,,,
,,2013 - 2014,80,80,1,,,,,,
,,2014 - 2015,80,80,1,,,,,,
,,2015 - 2016,80,80,1,,,,,,
,,2016 - 2017,80,80,1,,,,,,
,,2017 - 2018,80,80,1,,,,,,
,,2018 - 2019,80,80,1,,,,,,
,,2019 - 2020,81,83,1.02,,,,,,
,,2020 - 2021,81,84,1.04,,,,,,
,,2022 - 2023,55,67,1.22,,,,,,
,6. Mokokchung,2009 - 2010,100,100,1,,,,,,
,,2010 - 2011,60,120,2,,,,,,
,,2011 - 2012,60,110,1.83,,,,,,
,,2012 - 2013,100,110,1.1,,,,,,
,,2013 - 2014,110,120,1.09,,,,,,
,,2014 - 2015,120,130,1.08,,,,,,
,,2015 - 2016,120,130,1.08,,,,,,
,,2016 - 2017,130,150,1.15,,,,,,
,,2017 - 2018,140,150,1.07,,,,,,
,,2018 - 2019,140,150,1.07,,,,,,
,,2019 - 2020,142,155,1.09,,,,,,
,,2020 - 2021,142,156,1.1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,106,129,1.22,,,,,,
,7. Mon,2009 - 2010,210,220,1.05,,,,,,
,,2010 - 2011,170,320,1.88,,,,,,
,,2011 - 2012,170,320,1.88,,,,,,
,,2012 - 2013,190,210,1.11,,,,,,
,,2013 - 2014,190,210,1.11,,,,,,
,,2014 - 2015,190,210,1.11,,,,,,
,,2015 - 2016,190,210,1.11,,,,,,
,,2016 - 2017,200,220,1.1,,,,,,
,,2017 - 2018,200,220,1.1,,,,,,
,,2018 - 2019,200,220,1.1,,,,,,
,,2019 - 2020,203,225,1.11,,,,,,
,,2020 - 2021,203,226,1.11,,,,,,
,,2022 - 2023,151,187,1.24,,,,,,
,8. Noklak,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,57,68,1.19,,,,,,
,9. Nuiland,2022 - 2023,64,79,1.23,,,,,,
,10. Peren,2009 - 2010,200,210,1.05,,,,,,
,,2010 - 2011,160,300,1.88,,,,,,
,,2011 - 2012,170,330,1.94,,,,,,
,,2012 - 2013,210,240,1.14,,,,,,
,,2013 - 2014,220,250,1.14,,,,,,
,,2014 - 2015,220,250,1.14,,,,,,
,,2015 - 2016,220,250,1.14,,,,,,
,,2016 - 2017,220,250,1.14,,,,,,
,,2017 - 2018,220,250,1.14,,,,,,
,,2018 - 2019,220,250,1.14,,,,,,
,,2019 - 2020,224,250,1.12,,,,,,
,,2020 - 2021,224,250,1.12,,,,,,
,,2022 - 2023,167,207,1.24,,,,,,
,11. Phek,2009 - 2010,280,290,1.04,,,,,,
,,2010 - 2011,230,430,1.87,,,,,,
,,2011 - 2012,240,460,1.92,,,,,,
,,2012 - 2013,220,250,1.14,,,,,,
,,2013 - 2014,220,250,1.14,,,,,,
,,2014 - 2015,220,250,1.14,,,,,,
,,2015 - 2016,220,250,1.14,,,,,,
,,2016 - 2017,230,270,1.17,,,,,,
,,2017 - 2018,240,270,1.13,,,,,,
,,2018 - 2019,240,270,1.13,,,,,,
,,2019 - 2020,244,270,1.11,,,,,,
,,2020 - 2021,244,271,1.11,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,
,,2022 - 2023,152,184,1.21,,,,,,
,12. Shamator,2022 - 2023,48,58,1.21,,,,,,
,13. Tseminyu,2022 - 2023,55,68,1.24,,,,,,
,14. Tuensang,2009 - 2010,180,180,1,,,,,,
,,2010 - 2011,140,270,1.93,,,,,,
,,2011 - 2012,140,270,1.93,,,,,,
,,2012 - 2013,160,180,1.13,,,,,,
,,2013 - 2014,160,180,1.13,,,,,,
,,2014 - 2015,160,180,1.13,,,,,,
,,2015 - 2016,160,180,1.13,,,,,,
,,2016 - 2017,160,180,1.13,,,,,,
,,2017 - 2018,160,180,1.13,,,,,,
,,2018 - 2019,160,180,1.13,,,,,,
,,2019 - 2020,162,180,1.11,,,,,,
,,2020 - 2021,162,180,1.11,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,73,91,1.25,,,,,,
,15. Wokha,2009 - 2010,220,220,1,,,,,,
,,2010 - 2011,180,350,1.94,,,,,,
,,2011 - 2012,180,350,1.94,,,,,,
,,2012 - 2013,200,220,1.1,,,,,,
,,2013 - 2014,200,220,1.1,,,,,,
,,2014 - 2015,200,220,1.1,,,,,,
,,2015 - 2016,210,230,1.1,,,,,,
,,2016 - 2017,210,240,1.14,,,,,,
,,2017 - 2018,210,240,1.14,,,,,,
,,2018 - 2019,220,250,1.14,,,,,,
,,2019 - 2020,224,250,1.12,,,,,,
,,2020 - 2021,224,251,1.12,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,167,208,1.25,,,,,,
,16. Zunheboto,2009 - 2010,230,230,1,,,,,,
,,2010 - 2011,190,390,2.05,,,,,,
,,2011 - 2012,190,370,1.95,,,,,,
,,2012 - 2013,210,220,1.05,,,,,,
,,2013 - 2014,210,220,1.05,,,,,,
,,2014 - 2015,210,220,1.05,,,,,,
,,2015 - 2016,210,220,1.05,,,,,,
,,2016 - 2017,210,220,1.05,,,,,,
,,2017 - 2018,210,230,1.1,,,,,,
,,2018 - 2019,210,230,1.1,,,,,,
,,2019 - 2020,213,235,1.1,,,,,,
,,2020 - 2021,213,236,1.11,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,159,195,1.23,,,,,,
9. Odisha,1. Anugul,2000 - 2001,"1,250.00","7,570.00",6.06,,,,,,
,,2019 - 2020,20,100,5,,,,,,
,2. Balangir,2000 - 2001,"1,760.00","5,570.00",3.16,,,,,,
,,2019 - 2020,420,"1,930.00",4.6,,,,,,
,3. Baleshwar,2000 - 2001,140,490,3.5,,,,,,
,4. Bargarh,2000 - 2001,670,"2,180.00",3.25,,,,,,
,,2019 - 2020,60,280,4.67,,,,,,
,5. Boudh,2000 - 2001,380,880,2.32,,,,,,
,,2019 - 2020,50,250,5,,,,,,
,6. Cuttack,2000 - 2001,630,"3,780.00",6,,,,,,
,,2019 - 2020,60,290,4.83,,,,,,
,7. Deogarh,2000 - 2001,430,"1,430.00",3.33,,,,,,
,,2019 - 2020,50,230,4.6,,,,,,
,8. Dhenkanal,2000 - 2001,"1,320.00","7,850.00",5.95,,,,,,
,,2019 - 2020,80,420,5.25,,,,,,
,9. Gajapati,2000 - 2001,570,"2,530.00",4.44,,,,,,
,,2019 - 2020,40,190,4.75,,,,,,
,10. Ganjam,2000 - 2001,"1,530.00","4,920.00",3.22,,,,,,
,,2019 - 2020,270,"1,360.00",5.04,,,,,,
,11. Jajapur,2000 - 2001,400,"1,110.00",2.78,,,,,,
,12. Jharsuguda,2000 - 2001,480,"1,530.00",3.19,,,,,,
,,2019 - 2020,30,100,3.33,,,,,,
,13. Kalahandi,2000 - 2001,490,"2,120.00",4.33,,,,,,
,,2019 - 2020,140,770,5.5,,,,,,
,14. Kandhamal,2000 - 2001,180,370,2.06,,,,,,
,,2019 - 2020,20,110,5.5,,,,,,
,15. Kendujhar,2000 - 2001,"3,040.00","16,600.00",5.46,,,,,,
,,2019 - 2020,980,"5,280.00",5.39,,,,,,
,16. Khordha,2000 - 2001,560,"1,720.00",3.07,,,,,,
,17. Koraput,2000 - 2001,820,"2,910.00",3.55,,,,,,
,,2019 - 2020,130,670,5.15,,,,,,
,18. Malkangiri,2019 - 2020,140,680,4.86,,,,,,
,19. Mayurbhanj,2000 - 2001,"4,530.00","18,650.00",4.12,,,,,,
,,2019 - 2020,480,"2,320.00",4.83,,,,,,
,20. Nabarangpur,2000 - 2001,640,"3,030.00",4.73,,,,,,
,,2019 - 2020,80,390,4.88,,,,,,
,21. Nayagarh,2000 - 2001,460,"1,890.00",4.11,,,,,,
,,2019 - 2020,700,"3,450.00",4.93,,,,,,
,22. Nuapada,2000 - 2001,810,"1,800.00",2.22,,,,,,
,,2019 - 2020,280,"1,340.00",4.79,,,,,,
,23. Rayagada,2000 - 2001,90,360,4,,,,,,
,,2019 - 2020,120,630,5.25,,,,,,
,24. Sambalpur,2000 - 2001,"1,060.00","3,740.00",3.53,,,,,,
,,2019 - 2020,10,40,4,,,,,,
,25. Sonepur,2000 - 2001,380,920,2.42,,,,,,
,,2019 - 2020,100,440,4.4,,,,,,
,26. Sundargarh,2000 - 2001,"1,260.00","8,670.00",6.88,,,,,,
,,2019 - 2020,430,"2,150.00",5,,,,,,
